@relation jAudio
@ATTRIBUTE "Spectral Flux0" NUMERIC
@ATTRIBUTE "Root Mean Square0" NUMERIC
@ATTRIBUTE "Fraction Of Low Energy Windows0" NUMERIC
@ATTRIBUTE "Zero Crossings0" NUMERIC
@ATTRIBUTE "Beat Sum0" NUMERIC
@ATTRIBUTE "Strength Of Strongest Beat0" NUMERIC
@ATTRIBUTE "MFCC0" NUMERIC
@ATTRIBUTE "MFCC1" NUMERIC
@ATTRIBUTE "MFCC2" NUMERIC
@ATTRIBUTE "MFCC3" NUMERIC
@ATTRIBUTE "MFCC4" NUMERIC
@ATTRIBUTE "MFCC5" NUMERIC
@ATTRIBUTE "MFCC6" NUMERIC
@ATTRIBUTE "MFCC7" NUMERIC
@ATTRIBUTE "MFCC8" NUMERIC
@ATTRIBUTE "MFCC9" NUMERIC
@ATTRIBUTE "MFCC10" NUMERIC
@ATTRIBUTE "MFCC11" NUMERIC
@ATTRIBUTE "MFCC12" NUMERIC
@ATTRIBUTE "LPC0" NUMERIC
@ATTRIBUTE "LPC1" NUMERIC
@ATTRIBUTE "LPC2" NUMERIC
@ATTRIBUTE "LPC3" NUMERIC
@ATTRIBUTE "LPC4" NUMERIC
@ATTRIBUTE "LPC5" NUMERIC
@ATTRIBUTE "LPC6" NUMERIC
@ATTRIBUTE "LPC7" NUMERIC
@ATTRIBUTE "LPC8" NUMERIC
@ATTRIBUTE "LPC9" NUMERIC

@DATA
1.184301858E-6,1.085795784E-1,?,7.6171875E-2,?,?,-1.047481975E2,1.406443531E1,-1.990421276E0,1.398649819E-1,-1.833383143E0,-9.112656916E-1,-2.955760706E0,-2.10128181E0,1.992709642E0,7.978082138E-1,7.851545012E-1,-6.228968816E-1,1.195057969E0,-9.780175885E-1,7.995080876E-1,-2.779733495E-1,3.067189022E-3,2.474292266E-2,1.354003538E-1,-7.308091679E-2,1.549496837E-1,-1.378854003E-2,0E0
1.061764854E-6,1.228765484E-1,?,5.46875E-2,?,?,-1.084337295E2,1.516240235E1,-1.084262555E0,1.753254335E0,-6.722251416E-1,-3.714363621E0,-2.819609344E0,-2.578565901E0,1.319991695E0,3.068048622E-1,-6.651495662E-1,3.305332853E-1,7.967976757E-1,-9.855396239E-1,8.022300354E-1,-2.079044676E-1,2.154743231E-2,6.115795855E-2,1.167208374E-2,-2.983919103E-2,2.162682185E-1,7.036689634E-2,0E0
4.272285351E-6,1.290862509E-1,?,5.6640625E-2,?,?,-1.077748821E2,1.480727167E1,1.172298706E-1,2.394073804E0,1.54225608E0,-1.152587997E0,-2.462017962E0,-6.280492248E-1,-6.953847773E-2,-1.798083871E0,-1.391078786E0,-3.019198906E-1,4.21255061E-2,-9.858285721E-1,7.676049212E-1,-1.061210745E-1,-6.873499886E-2,-4.548924219E-2,1.192496446E-1,-7.367133282E-2,4.759569577E-2,1.149735797E-1,0E0
1.334929516E-5,1.79546382E-1,?,1.38671875E-1,?,?,-8.724829863E1,6.159689021E0,4.323943869E0,2.160499209E0,-5.029124025E0,-1.770098223E-1,-3.395453933E0,-1.093620443E0,-7.240962689E-1,1.617293322E-1,-2.966356153E0,3.025150748E0,1.981475666E0,-9.085924338E-1,1.178477187E-1,-1.931122892E-1,3.116038044E-1,-5.2775582E-1,5.733533642E-2,1.271825939E-1,8.382460219E-2,9.92458032E-2,0E0
1.492303808E-5,2.317568922E-1,?,5.46875E-2,?,?,-9.193880312E1,1.316860192E1,7.504100864E-1,4.892907593E0,-1.473777322E0,3.24136764E0,-2.472263672E0,7.315963143E-2,-6.713595437E-1,-7.675421148E-1,-1.272834224E0,1.301555415E0,1.162311468E0,-9.807577769E-1,5.39026376E-1,-1.148523993E-1,-1.11305206E-1,-2.145965001E-1,7.155887557E-2,2.751904033E-1,3.18649722E-2,8.01478597E-2,0E0
1.219344033E-5,2.351782655E-1,?,5.2734375E-2,?,?,-9.611194361E1,1.253384081E1,2.059923877E0,4.477430781E0,-3.308405317E0,1.8426617E0,-2.322742224E0,-1.98857376E0,-5.994961603E-1,1.344035838E-2,8.996325816E-1,4.694634501E0,2.271814917E0,-9.863846909E-1,6.820594362E-1,-3.068331362E-1,-2.575272173E-1,-6.672683383E-2,1.860205084E-1,2.414765575E-1,1.088094137E-1,1.760565675E-1,0E0
7.810602165E-6,2.159604356E-1,?,3.7109375E-2,?,?,-9.915338901E1,1.353322537E1,-1.434863842E-1,4.421964801E0,-2.664651711E0,2.117646486E0,8.172702064E-2,-5.18425244E-1,1.366306816E0,1.481958061E0,-8.183049017E-2,6.637930323E-1,1.749572685E0,-9.862039254E-1,5.405527256E-1,3.134020646E-3,-1.849927315E-1,-1.046826423E-1,1.93846643E-2,1.720786266E-1,1.695911553E-1,1.158518418E-1,0E0
2.95747188E-6,1.942986798E-1,?,4.1015625E-2,?,?,-1.029545997E2,1.545683267E1,2.01090172E0,4.970675287E0,-7.253447431E-1,2.708887926E0,-1.03939973E0,-1.609869223E0,-9.40731277E-2,7.749333512E-1,-5.442023225E-2,1.510474553E0,2.630355853E0,-9.875800246E-1,4.671329302E-1,1.361719188E-1,2.070827901E-2,-4.137111787E-2,2.778529539E-2,1.205534457E-1,7.347548566E-2,1.058862403E-1,0E0
1.602568825E-6,1.722904032E-1,?,3.90625E-2,?,?,-1.044115799E2,1.581262401E1,2.26332113E0,2.854614794E0,-1.34189608E0,2.335241592E0,-8.775592319E-1,-1.61502784E0,4.214175097E-1,4.361911022E-1,-1.692835065E-1,9.720140277E-1,2.988730952E0,-9.907871349E-1,7.029027109E-1,-2.278143448E-2,-3.89093778E-2,6.7859977E-2,7.134195416E-2,9.545277735E-2,3.148953225E-2,3.866286311E-3,0E0
3.578075778E-6,1.548504154E-1,?,2.34375E-2,?,?,-1.08097495E2,1.467330965E1,2.683190808E0,3.732749479E0,-2.108985556E0,-5.069679336E-2,-1.084902287E0,1.105567721E0,4.30675511E-2,-1.088201082E0,4.870745376E-2,4.738498098E-2,3.042534146E0,-9.915941282E-1,5.924036251E-1,-4.506714679E-2,-2.249429808E-2,4.334623373E-3,1.328954297E-1,1.346967499E-1,-4.699868107E-2,-6.573850246E-2,0E0
