@RELATION 'Music feature'
%rows=2
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Average distance between zero-crossings of the time-domain signal and its variance' NUMERIC
@ATTRIBUTE 'Average distance between zero-crossings of the time-domain signal and its variance' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
5.651685,6.1573033,835
10.32653,22.00407,836
5.8875,8.244686,837
6.2469134,9.855162,838
4.3565216,4.2634773,839
5.616279,7.0367284,840
5.4148936,7.15097,841
15.233334,26.79264,842
8.593221,16.981665,843
14.194445,26.659185,844
9.125,13.625164,845
4.603604,4.187668,846
5.7356324,5.9315248,847
6.189189,6.929521,848
9.54,12.865784,849
6.1923075,9.762642,850
5.9418607,7.261486,851
6.1463413,7.105686,852
5.9764705,8.223319,853
6.175,9.8903675,854
5.2210526,5.6497397,855
5.554348,8.355373,856
8.483334,14.443559,857
5.5632186,8.312435,858
6.231707,8.514405,859
7.8461537,10.804886,860
8.360656,11.306509,861
6.653333,8.6786995,862
9.0625,15.349276,863
7.919355,11.831203,864
12.268292,22.48254,865
5.7386365,6.404001,866
5.1,6.0158124,867
6.1538463,7.9776564,868
6.012987,9.319012,869
9.788462,17.470125,870
9.2,15.261836,871
6.121951,8.451282,872
6.7083335,8.033675,873
5.741573,7.059185,874
5.9069767,6.2517495,875
7.40625,10.47276,876
7.921875,11.421341,877
5.5824175,8.498307,878
4.8207545,7.5395775,879
6.0833335,6.309872,880
5.611111,9.478272,881
5.257732,6.5492244,882
7.703125,11.327069,883
7.6769233,11.12047,884
6.7236843,10.100285,885
5.6444445,7.671464,886
5.806818,6.5381017,887
5.257732,6.619681,888
5.3978496,8.186193,889
4.8207545,6.604454,890
7.3768115,12.77804,891
5.28125,6.7495418,892
5.4408603,9.491889,893
5.5434785,8.620518,894
5.9302325,6.829809,895
4.6168222,5.413111,896
7.142857,10.769382,897
15.96875,30.620136,898
10.923077,19.882198,899
11.454545,19.589485,900
7.580645,13.568878,901
6.443038,12.128789,902
5.5054946,7.7790556,903
10.3404255,14.526977,904
8.095238,11.199085,905
4.163793,5.6628613,906
3.9612403,4.9951963,907
3.4489796,2.7384481,908
3.609929,2.827858,909
3.8059702,3.6189337,910
3.6170213,3.265247,911
3.9230769,3.598323,912
3.8421052,3.7413402,913
4.293103,5.0172415,914
4.766355,6.3165402,915
4.198347,3.0003302,916
5.393617,10.360746,917
8.220339,19.180735,918
6.15,13.302349,919
5.08,9.061655,920
3.9076922,6.0782666,921
5.368421,9.453546,922
5.4946237,9.334435,923
4.745098,7.7922616,924
8.661017,14.925363,925
5.702381,10.170897,926
5.862069,11.485295,927
5.793103,11.175855,928
8.047619,13.344553,929
9.425926,13.095944,930
6.3421054,8.1346445,931
10.847826,15.208647,932
4.669725,5.987839,933
6.4871793,8.639123,934
6.891892,7.9688034,935
5.11,6.404522,936
5.730337,6.4263573,937
5.376344,6.9713917,938
4.857143,5.912744,939
3.5104895,4.010244,940
5.021053,5.8830333,941
5.060606,6.141132,942
6.3375,7.694062,943
5.6067414,6.8525696,944
7.0,10.050557,945
16.966667,34.406864,946
10.428572,19.188644,947
7.6119404,10.835204,948
5.2916665,6.5858383,949
5.9764705,8.933712,950
6.0117645,8.955438,951
14.588235,26.746212,952
10.0,21.269888,953
12.095238,24.478182,954
8.229508,14.06588,955
4.3055553,4.065342,956
7.6969695,8.833425,957
5.904762,6.344512,958
10.5,15.979153,959
6.849315,8.786152,960
5.827586,8.290982,961
4.609091,5.629622,962
5.1836734,6.987375,963
5.204301,6.0349503,964
4.513274,4.1394176,965
6.1842103,8.10411,966
5.8505745,7.7125497,967
4.9134617,4.8439307,968
5.368421,6.8672414,969
6.8133335,8.09229,970
6.219512,7.7695847,971
7.0140843,10.406516,972
8.956522,16.052843,973
9.407408,15.432672,974
6.084337,7.320881,975
6.5974026,7.1482625,976
5.52809,5.7064714,977
6.8133335,9.508863,978
5.571429,8.813255,979
13.405405,29.111584,980
7.352941,12.12407,981
6.369863,12.327168,982
5.7674417,7.261998,983
6.0,6.1237245,984
6.1445785,7.299336,985
7.1,9.218227,986
6.7083335,8.887316,987
6.7972975,10.698547,988
6.5384617,7.4294844,989
4.6,5.3989897,990
5.1616163,5.7554665,991
4.6788993,4.3575954,992
6.9054055,10.402922,993
7.5373135,11.156055,994
8.767858,15.476931,995
7.984375,13.269434,996
7.0416665,9.534204,997
