@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE 'Sub-band energy ratio' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.76050264,0.16986625,0.0014004841,8.686982E-4,154
0.84662855,0.10643108,3.6413522E-4,2.5011916E-4,155
0.84586483,0.11945046,6.2774325E-4,1.6382097E-4,156
0.8927761,0.0811098,4.5552186E-4,1.8818834E-4,157
0.8526421,0.09670075,3.420834E-4,1.9088057E-4,158
0.87209845,0.08473116,4.8041795E-4,2.3236482E-4,159
0.8688519,0.10211289,4.5266032E-4,1.595107E-4,160
0.5435932,0.44083259,0.0011038542,7.183627E-4,161
0.7733748,0.20137115,7.6687353E-4,0.0012366441,162
0.9004256,0.064529896,5.6427176E-4,6.582452E-4,163
0.87711036,0.08573875,6.07043E-4,0.0012103689,164
0.85158354,0.09670337,8.5441134E-4,0.0011810052,165
0.83590573,0.10820297,8.0851075E-4,8.235987E-4,166
0.89203006,0.07919141,7.401973E-4,7.8980986E-4,167
0.8282797,0.15117048,6.942202E-4,3.5707155E-4,168
0.8469534,0.10662237,7.587427E-4,4.402916E-4,169
0.84681433,0.116096616,8.226295E-4,1.5317535E-4,170
0.78467536,0.18456669,0.0016129066,3.76624E-4,171
0.75853574,0.18527104,0.0013445459,2.8293466E-4,172
0.73700637,0.2216605,9.5621916E-4,2.7211203E-4,173
0.7087431,0.24579829,9.38632E-4,3.921094E-4,174
0.6790999,0.27777284,9.617782E-4,7.0083386E-4,175
0.6049201,0.3448502,0.0010095647,0.0015531351,176
0.56151164,0.40275866,0.001520184,0.0010928438,177
0.721912,0.25256485,0.0014412727,0.0014255492,178
0.7848362,0.16434,0.0017114257,0.0023850685,179
0.71955365,0.18655846,0.0012787419,0.0010002473,180
0.46030745,0.3834458,0.00177036,0.0020115057,181
0.6873204,0.13066216,0.0017090592,0.0023818922,182
0.70480233,0.10918408,0.0014308797,0.0024165222,183
0.6766229,0.18256904,0.0014201112,0.0014597166,184
0.6629484,0.25020513,0.0010341058,9.2308334E-4,185
0.5084218,0.3708958,0.001199187,0.0010291125,186
0.69247395,0.26471487,8.849071E-4,0.0012589981,187
0.86258477,0.13278344,0.0014716287,0.0010260717,188
0.835749,0.14626497,6.306813E-4,3.2759618E-4,189
0.8066354,0.17112601,6.364309E-4,2.987107E-4,190
0.816712,0.15311544,5.317197E-4,1.2818279E-4,191
0.8101188,0.16888331,6.670732E-4,2.8063016E-4,192
0.7686836,0.1984166,5.841528E-4,1.8544105E-4,193
0.7787741,0.19784757,6.3339295E-4,1.3439356E-4,194
0.8742444,0.11379,8.2691095E-4,6.0622994E-4,195
0.8894872,0.09821558,7.036417E-4,4.555828E-4,196
0.8704901,0.10446323,9.51665E-4,8.668405E-4,197
0.8938451,0.083023176,6.9310464E-4,0.0010305346,198
0.9059586,0.08239322,6.272568E-4,8.923237E-4,199
0.8340028,0.13894282,0.0012589653,0.0010586552,200
0.756367,0.1803338,0.0014372721,0.0012430866,201
0.7284609,0.23639664,8.934708E-4,5.0160283E-4,202
0.79123443,0.18536179,8.992778E-4,3.519445E-4,203
0.7206803,0.24494307,0.0014769648,4.5041804E-4,204
0.65262425,0.33535162,0.0010055185,2.2673311E-4,205
0.8175205,0.16210909,5.496581E-4,2.1175556E-4,206
0.8652757,0.11561015,7.950348E-4,2.5432959E-4,207
0.77828324,0.20613328,0.0015886365,3.2116636E-4,208
0.7940108,0.1968649,0.0012007969,9.0277486E-4,209
0.80725133,0.17052439,0.0013590399,8.790017E-4,210
0.8057912,0.18161742,0.0010247485,0.0013782002,211
0.86494005,0.13103443,0.0014250143,0.0011984429,212
0.8697213,0.118042745,6.3533126E-4,0.0015313885,213
0.86386514,0.1181078,0.0012798428,0.0012980719,214
0.6781944,0.29945433,0.002487669,0.0016631245,215
0.7960094,0.18888292,0.0013587212,2.383601E-4,216
0.8365959,0.14270432,6.326867E-4,2.5790298E-4,217
0.8446844,0.12669437,4.3101003E-4,3.0341843E-4,218
0.83970773,0.1409497,8.1931957E-4,9.0473804E-5,219
0.86890167,0.11396272,0.0010632991,1.8116784E-4,220
0.8109032,0.16803616,5.766668E-4,2.4567332E-4,221
0.80844074,0.17001577,0.0013201528,4.41173E-4,222
0.71717423,0.24733472,0.0012449675,4.8475465E-4,223
0.71872026,0.24776922,0.0013149378,0.0010226244,224
0.8340321,0.14757651,0.0010374055,7.35557E-4,225
0.7866711,0.18439703,0.001305493,0.0010649539,226
0.8313635,0.1446743,0.0013503613,4.5965027E-4,227
0.7092842,0.25304708,0.0013130921,9.4748754E-4,228
0.73715055,0.21818058,0.0015403965,0.0012409996,229
0.5775294,0.3821394,0.0025029646,3.9346068E-4,230
0.60248715,0.37017167,0.0024863554,3.4116232E-4,231
0.7212266,0.22476114,0.0019190989,2.7649233E-4,232
0.7345693,0.23544778,0.0015219783,3.5354772E-4,233
0.7208201,0.2471617,0.0018399538,3.5819804E-4,234
0.61835974,0.3653821,0.0015194466,2.3982681E-4,235
0.7536225,0.22620265,0.0022940114,9.7585074E-4,236
0.6325596,0.17414431,0.002105867,8.5068896E-4,237
0.60922587,0.2429851,0.0013548393,0.0010382307,238
0.64783764,0.2897424,0.0016924149,0.0013423848,239
0.67251194,0.17993,0.0012564386,9.217354E-4,240
0.7426584,0.12963583,0.0015082503,0.0019714015,241
0.7990946,0.19017304,0.0019386635,8.7137456E-4,242
0.733628,0.25430804,0.00156204,6.9665955E-4,243
0.6947694,0.25839782,0.0029140827,4.3987297E-4,244
0.6528201,0.2902821,0.0013778537,3.025108E-4,245
0.6983674,0.26078576,0.0015257925,2.1361161E-4,246
0.6750499,0.29451472,0.001307287,2.3129964E-4,247
0.72877115,0.20838259,0.0016491842,3.7635033E-4,248
0.6857843,0.29012713,0.0014854661,3.67911E-4,249
0.8664346,0.116201125,0.0018122492,6.164382E-4,250
0.8788237,0.08845385,0.0019417892,9.7292446E-4,251
0.8591707,0.106905274,0.0013362493,0.0012698168,252
0.8800959,0.09019849,0.0013377931,8.607388E-4,253
0.90061355,0.067009434,7.085953E-4,6.782481E-4,254
0.81713194,0.14556687,0.0013959432,9.249633E-4,255
0.748187,0.1950492,0.0016554616,0.0011061595,256
0.61409205,0.27782044,0.0022795014,7.783394E-4,257
0.3521359,0.62539434,0.0013766029,7.961631E-4,258
0.4208909,0.55896884,0.0018613957,0.0010040366,259
0.29244882,0.67928946,0.0012178343,8.08993E-4,260
0.39273462,0.5969569,0.0012608756,8.485791E-4,261
