@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral centroid' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2439.8936,1186
2568.85,1187
2507.4897,1188
2579.262,1189
2936.3938,1190
2886.1172,1191
2602.455,1192
2316.1868,1193
2488.1577,1194
2250.0261,1195
2348.8296,1196
2481.0605,1197
2466.6174,1198
2953.009,1199
2389.8477,1200
2000.2257,1201
1806.8014,1202
2250.3723,1203
1793.9269,1204
1998.2977,1205
2461.851,1206
2641.7402,1207
3040.259,1208
3198.8352,1209
2894.314,1210
3184.7192,1211
3554.9795,1212
3887.7756,1213
3350.3364,1214
2566.9463,1215
2231.1868,1216
2354.8203,1217
1512.5087,1218
2271.566,1219
2553.5483,1220
2589.7166,1221
2478.4084,1222
2350.5486,1223
2128.5732,1224
1787.35,1225
2430.1807,1226
2056.675,1227
2087.7983,1228
2046.5167,1229
1756.8809,1230
1883.3992,1231
2539.1326,1232
2513.2012,1233
2638.9575,1234
2816.793,1235
3272.4458,1236
2938.3884,1237
3741.366,1238
3898.632,1239
2988.8132,1240
2835.0317,1241
2427.0684,1242
2695.5112,1243
4488.488,1244
4494.5205,1245
3690.111,1246
2941.5867,1247
2897.6924,1248
2659.4297,1249
2985.319,1250
2978.1653,1251
2741.8354,1252
2993.0137,1253
3013.7249,1254
3161.304,1255
2846.938,1256
2736.31,1257
2525.1104,1258
2641.9263,1259
2772.0166,1260
2308.8855,1261
2747.2922,1262
3121.2166,1263
2947.4407,1264
2977.4702,1265
2793.141,1266
2641.593,1267
2714.8254,1268
2742.9663,1269
2830.838,1270
2833.4243,1271
2818.358,1272
2497.2244,1273
2559.3545,1274
2254.7422,1275
1896.6736,1276
2300.2837,1277
2510.3767,1278
2182.6675,1279
2395.0916,1280
2526.2837,1281
2301.9126,1282
2320.6428,1283
2183.1611,1284
2803.7388,1285
2581.4817,1286
2339.0234,1287
2278.5627,1288
2457.2974,1289
2763.3792,1290
2808.9785,1291
2973.4324,1292
2975.337,1293
3289.698,1294
3165.802,1295
2403.8867,1296
2382.933,1297
2404.0742,1298
2973.9258,1299
2976.149,1300
3023.496,1301
2762.1938,1302
2224.477,1303
2568.8625,1304
2396.1572,1305
2506.0208,1306
2400.6401,1307
2525.7021,1308
2642.5474,1309
2177.8206,1310
2245.8188,1311
2172.0066,1312
2060.7898,1313
2174.4795,1314
2117.062,1315
2647.5857,1316
2613.229,1317
2925.2666,1318
2455.2034,1319
2550.0757,1320
2827.615,1321
2783.0818,1322
2682.7432,1323
2570.798,1324
2455.5898,1325
2581.0361,1326
2512.5393,1327
2543.0676,1328
2531.6738,1329
2442.8325,1330
2212.6355,1331
2185.3757,1332
2484.296,1333
2333.0503,1334
2389.3123,1335
2591.0579,1336
1829.7087,1337
1877.2881,1338
2205.6404,1339
2302.1624,1340
2267.6414,1341
2600.666,1342
2351.4753,1343
2516.5242,1344
2691.912,1345
2895.9424,1346
2552.7888,1347
2456.4102,1348
2372.2527,1349
2443.5037,1350
2712.6548,1351
2468.7021,1352
2478.482,1353
2412.1223,1354
2469.9717,1355
2415.8855,1356
2597.3843,1357
2274.0964,1358
2671.5347,1359
2528.4473,1360
2870.317,1361
2880.0066,1362
2914.534,1363
2782.775,1364
2356.2068,1365
2825.6775,1366
2653.0168,1367
2621.8003,1368
2748.767,1369
2775.3713,1370
2585.3586,1371
2942.9282,1372
3111.5396,1373
3301.4734,1374
3648.4958,1375
3635.9995,1376
3323.1106,1377
2969.4277,1378
3426.0337,1379
3206.7454,1380
3169.3923,1381
3419.9138,1382
3372.0386,1383
3300.7295,1384
2794.191,1385
2712.956,1386
2712.2317,1387
3069.4385,1388
3030.6853,1389
2874.342,1390
