@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE 'Spectral flatness measure' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.9870967,0.7266888,0.8302801,0.8863738,431
0.8055906,0.8275021,0.72072196,0.85452,432
0.8928296,0.66490936,0.8121083,0.80518657,433
0.9468527,0.73199266,0.7875362,0.7443788,434
0.94427943,0.6924262,0.82324815,0.81751543,435
0.94446975,0.65649694,0.849485,0.8450849,436
0.8281411,0.8582329,0.89937896,0.8368065,437
0.8583325,0.6537895,0.91666406,0.7977037,438
0.96500397,0.6767823,0.8791168,0.83857244,439
0.93115586,0.63285774,0.77926767,0.79224837,440
0.9071755,0.71263516,0.91253424,0.8085721,441
0.88236094,0.7643173,0.8437115,0.7572047,442
0.9439879,0.7800028,0.8415051,0.8095931,443
0.9402322,0.8871658,0.78146464,0.8422544,444
0.99868643,0.78622687,0.63984424,0.8561872,445
0.9177966,0.8519028,0.69228816,0.7916759,446
0.95675725,0.9261935,0.7089705,0.7970578,447
0.91517603,0.8112761,0.6075633,0.81001794,448
0.7257243,0.93643874,0.7136709,0.7756593,449
0.95882463,0.85008097,0.86087096,0.8462928,450
0.9541001,0.7609274,0.8456374,0.76901215,451
0.7731083,0.9419764,0.88314337,0.78897375,452
0.96141875,0.7872753,0.7027694,0.7605993,453
0.94761586,0.8945205,0.7847185,0.7750453,454
0.92592734,0.88307095,0.7410776,0.74962336,455
0.97976446,0.88346004,0.68479013,0.86656827,456
0.81522727,0.8863708,0.8417222,0.8002418,457
0.8527075,0.7981893,0.8185202,0.835857,458
0.8808286,0.9339009,0.66497225,0.72120005,459
0.8912093,0.68167585,0.6593636,0.8076706,460
0.97145945,0.83928776,0.7770942,0.8376275,461
0.8575048,0.8624258,0.67086047,0.83024,462
0.92125183,0.8268589,0.8209893,0.77881294,463
0.8339605,0.8988379,0.80096436,0.8788238,464
0.854579,0.89061666,0.90205353,0.8183733,465
0.9555496,0.8598987,0.83410007,0.78545386,466
0.9111828,0.79160786,0.8180441,0.88403755,467
0.9611769,0.6708092,0.79749453,0.83121246,468
0.9249014,0.75780547,0.82676065,0.8292634,469
0.9772833,0.7963209,0.79667276,0.7890265,470
0.922089,0.8305602,0.8490542,0.7032399,471
0.93269444,0.79319,0.69968724,0.7647356,472
0.5732254,0.7334208,0.9295271,0.7022061,473
0.92642146,0.69606006,0.7458308,0.6973435,474
0.829738,0.77503806,0.77910835,0.7729291,475
0.8935039,0.71215004,0.6769944,0.8096655,476
0.8222469,0.9432806,0.9041812,0.84282637,477
0.9496117,0.878616,0.7959227,0.7559402,478
0.67522067,0.7828957,0.7888739,0.7876839,479
