@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 1st spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.21697512,430.66406,19.0,703
0.18524523,430.66406,15.0,704
0.32810238,86.13281,7.0,705
0.3153383,86.13281,8.0,706
0.32427967,86.13281,9.0,707
0.17110975,86.13281,17.0,708
0.14552943,172.26562,8.0,709
0.22996768,172.26562,10.0,710
0.32376662,258.39844,13.0,711
0.18431675,172.26562,8.0,712
0.25983003,129.19922,7.0,713
0.14795999,430.66406,18.0,714
0.1793224,215.33203,11.0,715
0.19602297,129.19922,11.0,716
0.19144358,129.19922,10.0,717
0.23746912,215.33203,13.0,718
0.17227465,129.19922,11.0,719
0.28441805,129.19922,10.0,720
0.12695031,301.46484,9.0,721
0.2516782,129.19922,14.0,722
0.18145862,129.19922,7.0,723
0.3286072,129.19922,10.0,724
0.14097449,2540.918,15.0,725
0.16705064,129.19922,8.0,726
0.11501518,86.13281,16.0,727
0.18696077,430.66406,15.0,728
0.17134291,1679.5898,14.0,729
0.17586806,1679.5898,25.0,730
0.1457633,430.66406,11.0,731
0.33814988,129.19922,8.0,732
0.21123916,86.13281,10.0,733
0.24459279,43.066406,11.0,734
0.229097,215.33203,16.0,735
0.43573862,86.13281,7.0,736
0.18769133,43.066406,12.0,737
0.40796,215.33203,26.0,738
0.21813235,215.33203,13.0,739
0.28471926,172.26562,10.0,740
0.1724927,172.26562,17.0,741
0.14563856,129.19922,51.0,742
0.13123435,129.19922,13.0,743
0.18671787,172.26562,9.0,744
0.1631401,86.13281,9.0,745
0.43749613,86.13281,8.0,746
0.33416292,86.13281,10.0,747
0.47674274,86.13281,9.0,748
0.19855218,86.13281,10.0,749
0.2065544,129.19922,11.0,750
0.16722572,86.13281,5.0,751
0.339467,215.33203,12.0,752
0.30742264,344.53125,13.0,753
0.2656566,344.53125,18.0,754
0.16466565,172.26562,8.0,755
0.17916319,86.13281,9.0,756
0.16706114,430.66406,26.0,757
0.27749667,430.66406,12.0,758
0.28488472,430.66406,20.0,759
0.4592359,86.13281,13.0,760
0.45907757,86.13281,11.0,761
0.2794485,86.13281,6.0,762
0.19227707,86.13281,14.0,763
0.22653192,258.39844,11.0,764
0.14028414,258.39844,10.0,765
0.15260197,172.26562,13.0,766
0.21207829,172.26562,17.0,767
0.15795179,301.46484,17.0,768
0.17440598,258.39844,17.0,769
0.12907586,258.39844,17.0,770
0.131741,258.39844,15.0,771
0.17790854,430.66406,14.0,772
0.7040727,129.19922,8.0,773
0.25577006,129.19922,10.0,774
0.27806664,43.066406,9.0,775
