@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral bandwidth' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2068.9644,698
2411.3105,699
2678.39,700
2502.435,701
2370.7322,702
2531.1816,703
2494.5486,704
2530.3274,705
2686.512,706
3077.62,707
3814.5505,708
3962.0854,709
2765.0212,710
1987.0377,711
2275.3088,712
2319.8647,713
2466.383,714
2452.864,715
2278.283,716
2537.6018,717
2571.0063,718
2263.5715,719
2474.884,720
2467.2769,721
2373.864,722
2047.8875,723
2378.9185,724
1868.9657,725
2286.5916,726
2099.044,727
2009.5442,728
2024.601,729
1820.7847,730
2051.374,731
2201.5803,732
2490.1963,733
2716.0203,734
2642.1768,735
2288.0327,736
2417.719,737
2269.5906,738
2368.1272,739
2311.628,740
2177.835,741
2227.5854,742
2161.3494,743
2124.8403,744
2005.8597,745
2176.6746,746
2238.2458,747
2271.9746,748
2166.3547,749
2405.2434,750
2279.0823,751
2018.9221,752
2155.8677,753
2320.9988,754
2031.7415,755
2217.1519,756
1914.934,757
1806.4196,758
2003.9283,759
1881.0352,760
2041.1184,761
2100.1863,762
2172.5417,763
1968.9258,764
1671.7916,765
1704.615,766
1623.4525,767
1724.821,768
1669.878,769
1823.0098,770
1744.4814,771
2115.3633,772
2018.9807,773
2040.7548,774
2335.021,775
2169.4807,776
2294.2415,777
2345.6904,778
2030.7415,779
1678.4403,780
1501.2175,781
1278.8359,782
1539.5413,783
1539.3771,784
1417.9646,785
1416.3398,786
2160.2715,787
2307.2158,788
2402.6497,789
2419.874,790
2357.7493,791
2531.032,792
2523.1282,793
2329.0654,794
2075.1208,795
2025.7426,796
2114.7305,797
2198.8667,798
1990.2582,799
1688.8506,800
2695.171,801
2656.596,802
2497.184,803
2417.5342,804
2481.647,805
2394.5552,806
2251.185,807
2507.1072,808
2667.4292,809
2927.3352,810
2969.5767,811
3118.7935,812
2764.558,813
2629.308,814
2833.226,815
2842.6797,816
2588.442,817
2463.8806,818
2445.8813,819
2138.517,820
2144.9033,821
2290.832,822
2409.8066,823
2241.0474,824
2331.0608,825
2311.7556,826
2395.3633,827
2308.2979,828
2374.5051,829
2258.8782,830
2205.403,831
1916.4502,832
2185.8967,833
2212.2107,834
2182.9026,835
2259.0862,836
2135.9668,837
2452.8997,838
1909.9453,839
2140.092,840
2389.7495,841
2212.1804,842
2283.015,843
2260.286,844
2095.4907,845
1722.2802,846
1800.2244,847
2062.1118,848
2315.3882,849
2430.1047,850
2403.234,851
2352.8318,852
2166.7615,853
2329.0996,854
1703.0983,855
2450.4229,856
2283.716,857
2417.913,858
2112.691,859
2193.5354,860
2187.4924,861
2219.104,862
2240.2556,863
2062.7952,864
2053.9812,865
2058.4912,866
2095.057,867
2281.644,868
2319.794,869
2089.6445,870
2187.1646,871
2237.2917,872
2175.1987,873
2022.5283,874
1805.1749,875
1843.2162,876
2375.6953,877
2385.6858,878
2641.62,879
2465.636,880
2583.6953,881
2233.7222,882
2330.9587,883
2260.11,884
2212.71,885
2467.1335,886
2160.9612,887
2137.055,888
2434.9392,889
2411.969,890
2623.8918,891
2613.4143,892
2787.1672,893
2833.8618,894
2605.5122,895
2371.301,896
2394.233,897
2138.3354,898
2386.6416,899
2792.0764,900
3030.905,901
2463.7947,902
2245.6345,903
2238.8792,904
2749.428,905
2956.712,906
2578.589,907
2438.5227,908
2183.7656,909
2295.1133,910
2476.7192,911
2440.5732,912
2544.5789,913
2566.3542,914
2777.5762,915
2119.452,916
2565.805,917
2849.2815,918
3087.6033,919
3140.7979,920
2977.3684,921
2803.437,922
2755.1282,923
2661.2004,924
3036.8716,925
3064.5286,926
3101.539,927
2678.74,928
2548.5693,929
2500.2026,930
2130.324,931
2333.0884,932
2432.3794,933
2361.8547,934
2335.368,935
2430.0098,936
2467.142,937
2491.519,938
2305.1162,939
2653.4143,940
2696.9092,941
2526.6646,942
2371.0037,943
2122.3928,944
2345.4758,945
2060.9426,946
2329.2434,947
2255.3362,948
2283.2166,949
2283.473,950
2334.5159,951
2272.6792,952
2257.7646,953
2152.4446,954
2102.1401,955
1889.8372,956
1842.2211,957
1968.023,958
2323.499,959
2263.3596,960
2356.4927,961
2431.1326,962
2254.2258,963
2517.161,964
1997.4932,965
2371.0142,966
2501.6409,967
2111.638,968
2458.0627,969
