@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral skewness' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.9430267,692
0.92684174,693
0.89372844,694
0.94738555,695
1.0700439,696
1.1045272,697
1.1684026,698
0.87299436,699
0.7738204,700
0.77388716,701
0.9494453,702
0.7368551,703
0.85233045,704
0.8921046,705
0.8891916,706
0.6461989,707
0.38815027,708
0.24846567,709
0.84080774,710
1.2515095,711
0.85392225,712
0.9755162,713
0.807982,714
0.88163847,715
1.0044938,716
0.78597164,717
0.816033,718
0.9237746,719
0.91811866,720
0.86529386,721
0.967243,722
1.0914506,723
0.90312356,724
1.0521171,725
0.9407424,726
1.0273011,727
1.1648655,728
1.0287455,729
1.1643229,730
0.9945904,731
1.1504554,732
0.90807647,733
0.83944935,734
0.7909105,735
1.084061,736
0.9782323,737
1.0845797,738
0.78706163,739
0.8891625,740
0.86890584,741
0.9141349,742
0.94827753,743
1.0625205,744
1.0754349,745
1.2283341,746
1.227969,747
1.2176075,748
1.0793808,749
1.0029979,750
1.0635544,751
1.2347013,752
1.1214759,753
0.91116744,754
1.1857358,755
0.96075904,756
1.1315162,757
1.3733548,758
1.2805135,759
1.5278429,760
1.4063139,761
1.3003018,762
1.2400658,763
1.3882189,764
1.3600346,765
1.4316965,766
1.5481278,767
1.5161996,768
1.2699772,769
1.0469686,770
1.2122669,771
1.0205617,772
1.4955223,773
1.3415171,774
1.0787019,775
1.155149,776
0.9627704,777
1.0811365,778
1.3138572,779
1.4801773,780
1.7229522,781
1.7712163,782
1.5894513,783
1.472165,784
1.6361187,785
1.5511918,786
1.2804387,787
1.1741967,788
1.0173994,789
0.8979126,790
1.0374155,791
0.9415829,792
0.92723346,793
1.0520909,794
1.2537796,795
1.3173978,796
1.2841109,797
1.1381499,798
1.0950139,799
0.97607887,800
0.9885953,801
0.87868434,802
1.0779672,803
1.047447,804
0.97702724,805
0.82465863,806
0.8517411,807
0.8902938,808
0.8124395,809
0.4500947,810
0.5863926,811
0.429131,812
0.6656508,813
0.71325606,814
0.74622774,815
0.6930339,816
0.8103425,817
0.8638751,818
0.97168624,819
1.092757,820
1.0972788,821
1.0218298,822
0.87107295,823
1.0084105,824
0.97204715,825
0.9448924,826
0.9155371,827
1.0521462,828
0.95546925,829
0.7697994,830
0.9161533,831
1.0083,832
0.9584721,833
1.0539021,834
1.0010908,835
1.1395754,836
1.0183488,837
0.82057816,838
1.0165185,839
1.0441549,840
0.7701772,841
1.1491286,842
1.1214404,843
1.1913072,844
1.2003858,845
1.0107902,846
1.307028,847
1.10428,848
1.0240128,849
0.9254098,850
0.87355155,851
0.9878618,852
1.0446064,853
0.9694455,854
1.0866144,855
1.0190201,856
1.1781151,857
0.97362125,858
1.0289623,859
1.1047827,860
1.150796,861
1.0018528,862
1.1455331,863
1.2520026,864
1.305388,865
1.1175715,866
1.1340429,867
1.0438776,868
0.9883366,869
1.2239486,870
1.1585083,871
1.0446258,872
1.114445,873
1.2493478,874
1.2643265,875
1.4267336,876
1.020604,877
0.85978365,878
0.67452306,879
0.7630261,880
0.9271804,881
0.98261374,882
0.9750413,883
1.0609151,884
1.1029382,885
0.9468985,886
1.0184618,887
1.0446782,888
0.9674022,889
0.9141613,890
0.89133024,891
0.70623994,892
0.7592895,893
0.6987069,894
0.8045593,895
0.9486701,896
0.99780786,897
1.2132202,898
1.0908523,899
0.79705244,900
0.6486912,901
0.9012113,902
1.0144244,903
1.083278,904
0.74050736,905
0.53847647,906
0.53690577,907
0.66980964,908
0.7118346,909
0.7135611,910
0.672945,911
0.6685301,912
0.80456895,913
0.7419182,914
0.6207801,915
0.81246537,916
0.7908278,917
0.6994851,918
0.4058216,919
0.38679808,920
0.4880837,921
0.5712754,922
0.73031926,923
0.7662125,924
0.53254664,925
0.532418,926
0.5134225,927
0.9078595,928
0.87557554,929
0.9042414,930
1.1368593,931
1.0605536,932
0.91430897,933
1.0558758,934
1.0534375,935
0.86705166,936
0.9739498,937
0.8841628,938
1.0143341,939
0.7379079,940
0.80652297,941
0.88373166,942
0.95319414,943
1.0186305,944
0.9047687,945
1.356806,946
1.0237882,947
1.0928322,948
