@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 5th spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.07026072,2885.4492,13.0,449
0.06297961,3574.5117,178.0,450
0.04115826,2497.8516,28.0,451
0.042669922,2928.5156,8.0,452
0.03857499,3273.0469,4.0,453
0.026866447,4177.4414,24.0,454
0.06894463,2670.1172,5.0,455
0.053690862,3660.6445,14.0,456
0.048566245,1679.5898,18.0,457
0.05740036,3703.711,175.0,458
0.057275973,3875.9766,171.0,459
0.048159026,2411.7188,11.0,460
0.046590444,3273.0469,47.0,461
0.035774603,3488.379,176.0,462
0.039798424,2110.254,6.0,463
0.044035148,2756.25,15.0,464
0.043203738,2713.1836,2.0,465
0.041646276,2842.3828,9.0,466
0.038132362,1636.5234,26.0,467
0.035108853,1894.9219,12.0,468
0.037626125,5598.633,135.0,469
0.046254497,732.1289,16.0,470
0.048645407,645.9961,3.0,471
0.037353046,5081.836,47.0,472
0.025493274,3488.379,6.0,473
0.035332162,3445.3125,19.0,474
0.025561862,3488.379,183.0,475
0.049886275,2411.7188,24.0,476
0.05904133,3875.9766,38.0,477
0.06312223,2411.7188,13.0,478
0.033304557,1291.9922,27.0,479
0.053531405,3186.914,14.0,480
0.046567947,2583.9844,7.0,481
0.043632697,2885.4492,8.0,482
0.047156867,2713.1836,7.0,483
0.03432629,3617.5781,22.0,484
0.047420014,775.1953,5.0,485
0.04611929,86.13281,2.0,486
0.031637385,8354.883,71.0,487
0.038008634,9560.742,19.0,488
0.03782782,9431.543,45.0,489
0.038648076,3273.0469,14.0,490
0.03815031,3875.9766,42.0,491
0.048237205,1593.457,17.0,492
0.044102747,1076.6602,10.0,493
0.045524385,861.3281,30.0,494
0.04243802,689.0625,8.0,495
0.038770556,3617.5781,7.0,496
0.037889972,3402.246,16.0,497
0.044220816,3660.6445,10.0,498
0.040908124,2540.918,23.0,499
0.036330435,2110.254,14.0,500
0.050741274,3445.3125,10.0,501
0.04208252,3273.0469,18.0,502
0.060254045,775.1953,22.0,503
0.048806775,1550.3906,9.0,504
0.06415788,2411.7188,19.0,505
0.04410636,1636.5234,18.0,506
0.0751706,1248.9258,7.0,507
0.04969051,1722.6562,23.0,508
0.049758654,2239.4531,12.0,509
0.048410434,1636.5234,10.0,510
0.059706885,1421.1914,7.0,511
0.048542388,602.9297,4.0,512
0.036780227,2627.0508,12.0,513
0.057198226,559.8633,15.0,514
0.045182396,1248.9258,10.0,515
0.032547582,2368.6523,22.0,516
0.038386665,3229.9805,8.0,517
0.06812187,3316.1133,12.0,518
0.038700946,4134.375,170.0,519
0.040789608,4048.2422,163.0,520
0.038954914,775.1953,14.0,521
0.04277688,2627.0508,4.0,522
0.05178263,3402.246,20.0,523
