@RELATION 'Music feature'
%rows=4
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE 'Spectral crest factor' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
1.9804187,3.2158904,4.6641245,4.8202558,311
1.7691333,2.059898,3.3117504,3.3054006,312
2.0959272,2.0445802,2.2896662,3.758731,313
2.5742385,1.7982012,3.1280887,3.519512,314
2.4264698,2.3139262,1.9747583,3.1433504,315
2.227104,2.4779224,2.0337434,3.5283246,316
2.129501,2.3982234,2.2202246,4.25763,317
1.7572999,2.0123045,2.2297752,3.840776,318
1.7538941,1.8652297,2.7002025,4.260798,319
2.3371701,4.9910665,2.9708304,3.409558,320
1.3863895,3.056166,3.8150406,3.7503357,321
2.2056396,4.2266626,4.3225317,3.4977252,322
1.7072107,2.9093986,3.8977249,4.008413,323
1.3667876,2.6859562,3.4630196,3.3047044,324
2.0584214,2.1545317,3.397564,2.7393088,325
1.4821506,2.4928446,2.8233469,3.057017,326
1.3427789,2.3051107,2.430959,3.3478882,327
2.2138832,3.0221517,1.9898484,5.3036203,328
1.5415777,3.413579,2.2883573,6.2831297,329
1.9210789,1.9272182,2.6367025,4.455859,330
1.3542913,1.9611917,3.1823766,3.9899287,331
2.1723466,1.9304142,3.7615523,5.391997,332
1.2330735,2.357437,2.1655915,2.2404568,333
2.0935671,1.7093478,2.3424885,2.7680066,334
1.7509235,2.0254166,2.295986,2.3279097,335
1.8029168,1.4053085,1.8592898,2.587807,336
1.7021992,1.8511326,2.2126532,2.3821971,337
1.7005278,2.103501,3.2067287,3.8765504,338
1.6283528,1.764999,1.9888183,2.3525822,339
1.8586869,2.0997963,2.6882846,2.524234,340
1.3515633,1.7827377,3.4940805,2.9184577,341
1.9014102,2.2799475,1.4741863,2.3139858,342
2.8479142,2.5447664,2.2530193,2.9840984,343
3.5136292,2.5738542,2.3678596,3.4290223,344
3.196016,2.1266592,3.134807,3.3155224,345
1.3573549,1.6034745,2.678342,3.702521,346
1.5479761,1.9555291,2.383585,2.256717,347
1.5296084,2.094829,2.173162,2.5761058,348
1.6525649,2.147545,1.9811608,2.354868,349
1.6025034,4.1487656,2.2050374,2.7998748,350
2.1759987,1.9347787,2.711918,3.4798348,351
2.4041545,3.1839466,2.41653,1.5897927,352
1.64634,1.8416924,2.3683794,2.6413398,353
1.9244149,2.430668,2.113552,2.6864908,354
1.672297,2.2187023,2.9370973,2.644027,355
2.1484125,2.1853445,1.575013,2.8364549,356
2.3552928,3.3087487,2.0268617,2.9395587,357
3.5136015,2.9737382,3.1009343,3.151576,358
2.6055005,2.4673724,3.47596,3.7023132,359
1.5626837,1.4743328,2.6370327,3.741459,360
1.5956634,2.1012774,2.540697,2.349701,361
1.4452475,1.7370615,1.8760357,2.8902907,362
1.4498518,2.2646592,2.0204165,2.3877034,363
1.6435409,5.338653,2.1789896,3.1237435,364
2.283355,1.9028859,3.2569594,1.956851,365
3.0713038,2.1015546,2.1859174,2.0658205,366
1.9981515,2.3734295,3.0645587,2.3121426,367
1.9259484,2.0065386,2.7736568,2.173558,368
1.6315296,3.8125725,1.8915323,2.6104105,369
2.0575788,3.7823992,2.9226038,2.9917412,370
1.8411517,3.7359269,2.7912636,3.3561683,371
1.8248279,2.5549438,2.3488524,3.7334456,372
1.4997907,1.9741954,3.6987972,5.257907,373
1.7367172,2.5602925,2.3184366,2.4068546,374
2.0435753,1.9909778,2.3772273,2.3029387,375
1.4857211,2.8559337,2.0013142,3.1631825,376
1.9470718,1.82159,2.1272094,2.7314374,377
1.3713788,1.6655406,2.606357,2.336964,378
2.0430298,1.779716,2.185114,3.1497076,379
1.6271495,2.6805506,3.1392598,3.5379846,380
1.5140918,2.1946259,1.7551455,2.2875934,381
1.5692116,3.1363072,1.9753857,2.9389079,382
1.4972601,2.7146027,2.1816218,3.2878394,383
1.2786844,2.5153434,2.9242043,2.3250797,384
1.3868285,2.033346,2.3543582,4.0938973,385
2.299456,2.814476,3.2004914,4.229179,386
1.9177248,2.6599486,2.9252584,4.346777,387
1.5446941,2.7479734,2.1083333,3.0702546,388
1.124703,3.0343182,2.1122727,3.3459637,389
1.5269345,2.0166547,2.0254138,3.1336718,390
1.3625441,2.558885,2.095538,2.451397,391
1.984984,2.6801004,2.761532,2.247957,392
1.9999506,2.2092524,2.290932,3.357028,393
1.4070524,2.0107393,1.82151,2.621897,394
1.55422,2.772481,2.1229699,2.6752112,395
1.5853745,2.4075577,2.4291284,3.5891054,396
1.4765228,1.5071214,4.309206,2.860446,397
2.1355283,1.9816006,2.7938435,3.0368426,398
1.883912,2.434537,3.1190023,2.9668458,399
1.6026502,1.362868,3.3463132,2.8676198,400
1.4682877,1.8685236,2.4035103,3.1453195,401
1.2970912,2.0262153,2.3784332,2.1471057,402
1.3694115,2.6026063,2.038683,2.1578057,403
1.8884847,1.7971175,2.4834886,2.3579218,404
2.0015178,1.9080143,3.702309,3.3722448,405
1.6976804,2.9017599,2.895221,2.2440324,406
1.9165174,1.9670674,2.6949868,2.340038,407
2.2086344,1.6599644,1.9485093,2.4825342,408
1.7607054,2.3246796,3.1467652,2.4726636,409
1.772085,2.1359024,1.9953326,2.8912377,410
1.8961228,2.1046643,2.078371,2.8672948,411
1.5394102,2.2077005,2.379019,3.4471707,412
1.372504,2.85279,3.1581683,3.0446248,413
2.0757291,2.5150793,1.8560821,3.1891897,414
1.4428676,1.5504979,2.3949933,2.9120529,415
1.6055435,1.8831048,2.682306,2.6031551,416
1.7028251,2.6829708,2.0990903,3.6005526,417
1.2372524,1.7406263,2.2091324,4.405404,418
1.70938,1.5842955,2.6991968,5.266351,419
1.2745972,3.3223038,3.194275,2.7595391,420
1.8760062,3.0078635,3.237463,2.5965178,421
1.3190507,1.4998099,2.090372,3.298223,422
1.5451,1.958777,2.4738781,2.3736894,423
1.4151725,1.4904757,3.6109862,2.4042845,424
1.7341181,2.3209722,3.719772,2.3230858,425
1.7274779,3.226005,3.369774,2.2333608,426
2.563931,2.9492548,2.000241,1.9641505,427
1.6277896,2.7745779,2.6124947,1.9234542,428
1.396628,1.8483933,2.5792983,2.485265,429
1.5820982,1.8836008,2.431549,2.648445,430
1.1416463,2.6182594,3.2925868,2.3749146,431
1.9560466,2.867656,3.1086197,2.7101536,432
1.8806279,2.85232,2.5091856,2.1433632,433
1.5848855,2.0983608,2.4992623,4.0641775,434
1.498512,2.454352,2.1105306,2.910398,435
1.3508564,2.1063652,2.1531253,2.7656505,436
1.5230691,2.0822873,1.8445683,2.4418235,437
1.5366689,2.937785,1.939708,2.327767,438
1.3810903,3.6522655,2.3414063,2.3696506,439
1.4961418,2.3935645,2.2846496,2.2181103,440
1.5502073,2.3903732,1.7380209,2.5798676,441
1.5513334,1.9249654,2.5909798,2.564125,442
1.2439326,2.2142887,2.3905065,2.64419,443
1.7022278,1.7241832,2.6506343,2.7493768,444
1.086029,2.1131308,3.934638,2.544645,445
1.2795141,2.2732353,3.3556168,2.6119018,446
1.4037108,1.9407136,3.5531828,2.7114966,447
1.6570227,1.9878038,4.6160245,2.7408388,448
1.6966156,1.7215003,3.6455255,3.2437916,449
1.5925359,2.028318,2.5887668,3.0334787,450
1.3397808,2.28344,2.3137674,2.2562683,451
2.1049721,1.6108984,2.3792746,3.4335394,452
1.3659151,1.9616951,4.10243,4.0364895,453
1.4532982,1.7907633,3.2715302,3.371102,454
1.7698386,1.8731751,4.210598,3.048097,455
1.2555999,1.5926284,3.4825263,2.159628,456
1.7231674,1.9006972,2.4652886,2.3830853,457
1.9764404,2.2362049,2.8339715,2.2596116,458
1.6583517,1.4694953,2.839804,3.3451009,459
1.5513754,2.7862983,4.2856913,2.0743384,460
1.3698165,2.2473905,2.680777,2.8187993,461
1.5224034,2.4035785,2.9793727,2.8040106,462
1.590977,2.2833157,2.3552246,3.459874,463
2.0072782,1.6698809,1.935276,1.8014001,464
1.8200308,2.1725173,1.813702,2.556825,465
1.5684819,1.8274035,2.3911395,3.6184397,466
1.4407846,2.0296302,2.1572504,2.3653004,467
1.2899755,2.2951462,2.0955358,1.9461052,468
1.4402293,1.9970633,2.1373088,3.0940177,469
1.2898384,2.0564325,2.9208558,4.7376413,470
1.3998587,1.8217578,3.574244,4.9705215,471
1.46256,2.7315524,2.6335065,4.093841,472
2.2124548,3.5132809,1.7976669,4.1267056,473
1.531515,3.5082037,2.6262705,3.1664224,474
1.986051,2.652449,3.4557061,2.9568384,475
1.7216345,2.645664,3.4746022,2.5722048,476
2.0490577,1.4533045,2.140459,2.675962,477
1.3880941,2.4143355,3.6975625,4.143574,478
2.2713223,2.7447035,2.3059123,3.9577072,479
1.5033057,2.445156,3.2267866,3.514505,480
1.3851956,3.1312382,2.6078508,4.552374,481
2.232326,2.3327708,3.8729215,4.056346,482
2.1722348,2.2280724,3.725285,3.9290276,483
1.8757819,3.0199635,2.7633257,2.0191748,484
1.370731,2.612867,1.9241053,2.5804534,485
2.1910088,1.9684612,1.8308794,3.0248144,486
2.0595174,3.0997174,1.6478946,2.493241,487
1.919531,3.272316,1.78513,2.5194879,488
1.420229,2.9291918,2.098395,2.746091,489
1.8556743,2.0741315,2.6843367,3.7921743,490
1.4445827,2.222739,1.6443264,2.5773323,491
1.8524332,1.9020857,1.7665473,2.9491172,492
1.4699441,1.9798962,2.0804842,4.7476645,493
1.4846058,3.022555,2.2510831,3.2444127,494
1.9327382,1.6141587,3.09062,4.704311,495
1.4686787,2.5099616,3.132646,4.074619,496
1.5608592,2.29332,3.8994703,2.7732964,497
1.6319479,2.282927,1.9361646,2.5575426,498
1.5536538,2.055147,3.4696014,1.9920623,499
2.1048477,2.3964229,2.4260778,3.1071239,500
1.3002527,2.800323,3.1761656,2.254585,501
1.4099312,2.048123,2.2950277,2.0493677,502
1.1818507,2.8021817,3.0124795,3.3335252,503
1.2605183,1.9207261,2.5596693,2.3928828,504
1.8594693,2.7622652,2.4869668,2.284318,505
2.2794895,2.0401464,3.3584096,3.6820588,506
1.742155,2.4869227,2.7719457,3.425515,507
1.6074522,2.1151714,2.3893392,3.9807224,508
1.5018171,1.816409,2.7037084,3.2927423,509
1.6303943,2.0439906,2.738793,2.4435897,510
1.8068824,3.0759552,2.085579,2.2621715,511
1.7551185,3.4926128,2.4423492,2.506505,512
1.4044565,3.0231001,2.2202868,2.4671147,513
1.6353892,2.8381746,2.1525517,2.9105208,514
1.2460517,2.4604533,2.6926584,3.533469,515
1.3156073,3.3936465,2.3899138,2.7798703,516
1.4298528,2.7385256,2.7076764,2.3646827,517
1.59123,2.0448875,2.1038377,2.5748062,518
1.9474243,2.1333182,2.3572884,3.8824143,519
1.6806182,2.2795093,2.2616463,2.455408,520
1.4710807,2.832157,2.6943557,2.7874777,521
1.5533816,2.4007497,2.1413448,3.0730464,522
2.6250324,2.525434,2.2493918,3.8365686,523
1.4546013,2.016139,2.1214359,3.034569,524
2.2185953,1.6917909,2.505963,3.9757996,525
1.4820529,2.3898878,2.6928542,2.831237,526
1.5513692,1.6095033,3.2463484,3.01296,527
1.5370462,1.4520894,3.2880228,5.001225,528
1.6496354,2.2069628,2.6700284,3.2440076,529
1.8916211,2.349584,2.3802156,3.8329978,530
1.3094047,1.890013,2.7309735,3.7554114,531
1.5730562,1.5905162,2.2832186,2.5884805,532
1.7650938,1.51191,2.5723097,3.6057649,533
1.5952829,3.156376,1.70864,2.4827194,534
1.7440518,2.2958088,2.2323859,2.6790464,535
1.7770821,1.7846768,2.7772367,4.6384754,536
1.5204861,2.5436168,2.1761358,3.401804,537
