@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 2nd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.085594274,2540.918,19.0,394
0.110994615,559.8633,6.0,395
0.09781209,689.0625,14.0,396
0.15590647,1679.5898,22.0,397
0.11907099,1679.5898,25.0,398
0.10651438,818.2617,16.0,399
0.09490258,1248.9258,19.0,400
0.08414328,2842.3828,15.0,401
0.12521005,602.9297,12.0,402
0.058833834,516.7969,24.0,403
0.07631378,344.53125,9.0,404
0.087762244,1119.7266,23.0,405
0.11601942,344.53125,5.0,406
0.06872001,387.59766,5.0,407
0.06738989,3100.7812,13.0,408
0.105447315,559.8633,22.0,409
0.16317366,86.13281,3.0,410
0.11912687,430.66406,10.0,411
0.118518636,3100.7812,16.0,412
0.108272865,3186.914,17.0,413
0.19047093,430.66406,21.0,414
0.10782355,344.53125,4.0,415
0.09238863,43.066406,1.0,416
0.120696194,2627.0508,16.0,417
0.11642323,2627.0508,22.0,418
0.14979567,2627.0508,33.0,419
0.09343778,516.7969,18.0,420
0.0789364,473.73047,10.0,421
0.081811324,2670.1172,36.0,422
0.07840218,2411.7188,14.0,423
0.092085235,1248.9258,22.0,424
0.122231804,1679.5898,29.0,425
0.122632146,86.13281,10.0,426
0.1602427,430.66406,11.0,427
0.106990494,818.2617,15.0,428
0.0894878,430.66406,10.0,429
0.089823075,473.73047,4.0,430
0.120099016,559.8633,12.0,431
0.17219266,301.46484,6.0,432
0.075294375,344.53125,6.0,433
0.10974643,2756.25,17.0,434
0.091922246,559.8633,9.0,435
0.12231478,689.0625,9.0,436
0.13643135,387.59766,5.0,437
0.12247107,559.8633,27.0,438
0.08226561,559.8633,6.0,439
0.060344126,2670.1172,10.0,440
0.07009474,2928.5156,18.0,441
0.06470425,2627.0508,24.0,442
0.077513486,473.73047,8.0,443
0.07241865,689.0625,13.0,444
0.09768041,344.53125,9.0,445
0.1041886,516.7969,8.0,446
0.118817404,1248.9258,22.0,447
0.1660801,1248.9258,13.0,448
0.10492824,1248.9258,15.0,449
0.09068175,2411.7188,17.0,450
0.067806676,818.2617,17.0,451
0.11215817,387.59766,5.0,452
0.10402352,2583.9844,22.0,453
0.10576863,3316.1133,29.0,454
0.10132111,129.19922,11.0,455
0.08479563,1679.5898,22.0,456
0.09282481,818.2617,11.0,457
0.069840744,818.2617,18.0,458
0.09715628,2411.7188,20.0,459
0.12909943,1248.9258,17.0,460
0.08297179,387.59766,11.0,461
0.06746158,516.7969,8.0,462
0.09175832,2713.1836,20.0,463
0.051913865,1636.5234,14.0,464
0.0742789,559.8633,12.0,465
0.09731806,2497.8516,23.0,466
0.06555693,732.1289,16.0,467
0.049562212,732.1289,10.0,468
0.072893925,2583.9844,29.0,469
0.111783326,2627.0508,24.0,470
0.120554484,2627.0508,12.0,471
0.09061378,2627.0508,21.0,472
0.089321174,2627.0508,37.0,473
0.08253031,2627.0508,13.0,474
0.09750009,387.59766,9.0,475
0.10653966,387.59766,16.0,476
0.08955737,344.53125,4.0,477
0.10431812,559.8633,9.0,478
0.07237267,3875.9766,64.0,479
0.12055502,516.7969,12.0,480
0.14208966,516.7969,13.0,481
0.21599045,387.59766,14.0,482
0.10193644,3919.043,51.0,483
0.122233674,129.19922,4.0,484
0.13219956,430.66406,10.0,485
0.08388003,3186.914,18.0,486
0.12874793,172.26562,7.0,487
0.063961536,129.19922,3.0,488
0.06472817,516.7969,37.0,489
0.08076415,2368.6523,49.0,490
0.14472236,473.73047,11.0,491
0.08213849,2110.254,17.0,492
0.11685281,2627.0508,19.0,493
0.11518797,430.66406,5.0,494
