@RELATION 'Music feature'
%rows=2
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE 'Average distance between extremal spectral values and its variance' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
312.23145,147.6242,901
287.9297,167.51556,902
301.46484,175.01228,903
296.6797,181.52086,904
263.91977,153.94922,905
300.1598,186.21454,906
273.52988,153.23616,907
284.7168,152.01817,908
275.14648,134.38965,909
281.06497,132.08968,910
295.4834,177.03058,911
288.79825,146.80135,912
300.1598,129.19263,913
316.26892,164.55981,914
273.52988,125.94423,915
302.7699,156.35478,916
274.69385,160.00069,917
297.66486,185.7848,918
287.9297,164.96544,919
283.5205,140.05782,920
309.2951,190.67918,921
318.96057,170.52725,922
291.6211,158.84966,923
291.6211,167.29851,924
289.16016,151.50264,925
289.50195,169.4344,926
329.24963,219.47337,927
297.66486,147.48285,928
289.16016,127.16167,929
297.66486,158.19044,930
284.7168,152.01817,931
306.68503,171.20448,932
281.12793,160.33398,933
323.65057,180.89792,934
313.57727,169.97404,935
277.02176,123.664604,936
296.3982,152.71516,937
282.32422,172.69708,938
337.35352,180.70222,939
309.5398,172.74861,940
273.52988,131.01627,941
298.85477,161.81476,942
329.72717,190.9697,943
302.7315,146.41286,944
281.12793,137.87459,945
354.58008,188.93127,946
270.038,149.0683,947
294.93964,156.22401,948
265.1984,154.18239,949
354.92657,209.04926,950
316.26892,162.07558,951
307.99005,167.67639,952
298.93152,167.103,953
290.39062,150.36913,954
281.06497,150.07913,955
298.93152,153.49065,956
303.99817,188.8639,957
322.30344,127.507614,958
286.3334,154.53912,959
335.91797,178.05411,960
283.5205,159.65417,961
300.19818,138.36765,962
285.46875,167.61496,963
306.68503,149.84708,964
290.0649,135.9108,965
260.60696,132.98967,966
289.16016,145.79886,967
273.52988,171.74577,968
316.26892,218.96455,969
292.85156,128.91179,970
306.68503,149.84708,971
322.30344,190.05682,972
279.93164,136.09831,973
277.53906,151.39557,974
323.69266,159.5993,975
288.66132,152.46503,976
337.35352,179.32848,977
307.99005,167.34087,978
351.95648,191.289,979
314.9231,143.01253,980
333.76465,165.74973,981
306.68503,172.18651,982
318.96057,155.59859,983
327.86038,161.39107,984
