@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Distances in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.1953516,2119
0.18219759,2120
0.15638624,2121
0.14244682,2122
0.11395495,2123
0.097207956,2124
0.121166505,2125
0.18267013,2126
0.15845321,2127
0.15010814,2128
0.17557874,2129
0.18665552,2130
0.19819827,2131
0.21465741,2132
0.20987315,2133
0.19094156,2134
0.20304656,2135
0.18153825,2136
0.17019002,2137
0.15838902,2138
0.17388207,2139
0.1893589,2140
0.19008327,2141
0.18522894,2142
0.17247342,2143
0.1474994,2144
0.13789552,2145
0.14379063,2146
0.15778072,2147
0.13092333,2148
0.11643057,2149
0.11321202,2150
0.10473484,2151
0.09490836,2152
0.111822434,2153
0.12597845,2154
0.14260837,2155
0.101832174,2156
0.070302345,2157
0.06584898,2158
0.06482325,2159
0.09856092,2160
0.16535117,2161
0.12340365,2162
0.108977295,2163
0.05477712,2164
0.049401503,2165
0.06965235,2166
0.2071881,2167
0.20710175,2168
0.20017178,2169
0.19617379,2170
0.15742618,2171
0.14746043,2172
0.14868763,2173
0.12143293,2174
0.15050828,2175
0.16252834,2176
0.14900233,2177
0.1682665,2178
0.14956896,2179
0.13724281,2180
0.1945785,2181
0.16883893,2182
0.1739176,2183
0.14251442,2184
0.121920206,2185
0.10600873,2186
0.10495893,2187
0.112237625,2188
0.10880448,2189
0.11398113,2190
0.3407198,2191
0.27891538,2192
0.2601037,2193
0.31268567,2194
0.26727852,2195
0.20378973,2196
0.19686213,2197
0.19759326,2198
0.1706043,2199
0.13332543,2200
0.08870681,2201
0.1865115,2202
0.20973626,2203
0.19448487,2204
0.20416838,2205
0.19368877,2206
0.16589344,2207
0.19741787,2208
0.18802768,2209
0.13845213,2210
0.06620757,2211
0.045921396,2212
0.034157526,2213
0.04991682,2214
0.15653048,2215
0.12543502,2216
0.1284478,2217
0.09215018,2218
0.07683082,2219
0.07461848,2220
0.32779983,2221
0.28822845,2222
0.22818856,2223
0.1975813,2224
0.19078986,2225
0.1532246,2226
0.14455837,2227
0.14448446,2228
0.20062076,2229
0.18316804,2230
0.14709187,2231
0.11932839,2232
0.13092539,2233
0.12916447,2234
0.14421712,2235
0.22365713,2236
0.2338597,2237
0.24082145,2238
0.22982517,2239
0.22796126,2240
0.2314194,2241
0.2069129,2242
0.22677407,2243
0.18279864,2244
0.17276567,2245
0.17101732,2246
0.1741536,2247
0.17825009,2248
0.17326638,2249
0.19584335,2250
0.13729897,2251
0.110266685,2252
0.11616834,2253
0.10242745,2254
0.102508284,2255
0.13596152,2256
0.19850646,2257
0.21506403,2258
0.22843951,2259
0.23986916,2260
0.21488313,2261
0.21528676,2262
0.24188994,2263
0.22457471,2264
0.15968177,2265
0.17104366,2266
0.17331447,2267
0.17691958,2268
0.17358258,2269
0.17343543,2270
0.20779866,2271
0.16943084,2272
0.18030804,2273
0.18523444,2274
0.16295767,2275
0.18202376,2276
0.16279827,2277
0.17640722,2278
0.1924754,2279
0.20394725,2280
0.20432861,2281
0.207489,2282
0.19429338,2283
0.19236976,2284
0.17809892,2285
0.15754858,2286
0.14706606,2287
0.17806643,2288
0.1821674,2289
0.22414252,2290
0.25353295,2291
0.25183487,2292
0.25810468,2293
0.25905767,2294
0.18791756,2295
0.20952472,2296
0.16000932,2297
0.17864949,2298
0.16675109,2299
0.20121066,2300
0.21110101,2301
0.11438019,2302
0.09712252,2303
0.1713025,2304
0.20301458,2305
0.18024991,2306
0.17416172,2307
0.18650426,2308
0.21864359,2309
0.2114026,2310
0.21815158,2311
0.19603115,2312
0.15500788,2313
0.14373985,2314
0.12279055,2315
0.08714352,2316
0.08178717,2317
0.10569677,2318
0.23202373,2319
