@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Angles in phase domain' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
2.1062255,1187
2.0930612,1188
2.1185193,1189
2.107903,1190
2.1316762,1191
2.0852306,1192
1.9026004,1193
2.0581954,1194
2.140846,1195
2.1918259,1196
2.195127,1197
2.1607614,1198
1.9097824,1199
1.9332278,1200
1.9381244,1201
2.002389,1202
2.1183622,1203
2.2093549,1204
2.109254,1205
1.8522748,1206
1.6441388,1207
1.5683001,1208
1.5174804,1209
1.4852209,1210
1.4707003,1211
1.592945,1212
1.7653517,1213
1.7931095,1214
1.9267516,1215
1.9730042,1216
2.016837,1217
1.9239781,1218
1.9250584,1219
1.9090502,1220
1.9057407,1221
1.8098756,1222
1.8813504,1223
1.9951926,1224
1.561715,1225
1.7124925,1226
1.8929509,1227
1.9613342,1228
2.003166,1229
2.0675116,1230
1.4490523,1231
1.3617978,1232
1.762448,1233
1.6657867,1234
1.5506136,1235
1.3773202,1236
1.4088236,1237
1.33273,1238
1.3442333,1239
1.4625621,1240
1.5934451,1241
1.4823031,1242
1.5158198,1243
1.3472215,1244
1.2129763,1245
1.3648499,1246
1.7188127,1247
1.7739649,1248
1.7312716,1249
1.7592988,1250
1.7066834,1251
1.6624517,1252
1.6969706,1253
1.6768755,1254
1.6673601,1255
1.6897385,1256
1.692942,1257
1.7790202,1258
1.7064744,1259
1.829966,1260
1.7200835,1261
1.6637772,1262
1.5412467,1263
1.646817,1264
1.6040184,1265
1.7880881,1266
1.7493209,1267
1.7434993,1268
1.7441181,1269
1.7802263,1270
1.9016672,1271
1.8581076,1272
1.8978422,1273
1.8404121,1274
1.8455713,1275
1.8921044,1276
1.913187,1277
1.9132131,1278
1.8870738,1279
1.8821679,1280
1.8477913,1281
1.7876209,1282
1.8190404,1283
1.8070564,1284
1.7339914,1285
1.8456218,1286
1.9087971,1287
1.9120204,1288
1.6964985,1289
1.6579136,1290
1.6847234,1291
1.6659206,1292
1.7138768,1293
1.6482177,1294
1.5676361,1295
1.7207271,1296
1.6251825,1297
1.6154984,1298
1.6854805,1299
1.6938624,1300
1.7506739,1301
1.7375977,1302
1.8152196,1303
1.7884909,1304
1.8838152,1305
1.8727883,1306
1.9987917,1307
1.9635055,1308
1.9107715,1309
1.9063941,1310
1.9409144,1311
1.8921899,1312
1.988137,1313
2.0639908,1314
2.0020878,1315
1.8236566,1316
1.7378582,1317
1.6805636,1318
1.7630076,1319
1.83541,1320
1.8040029,1321
1.8574817,1322
1.7445195,1323
1.8578737,1324
1.7375319,1325
1.9507098,1326
1.9429891,1327
1.8850672,1328
1.8950933,1329
1.955006,1330
2.0041652,1331
1.9531484,1332
1.8839564,1333
1.8923073,1334
1.941126,1335
1.8589636,1336
1.993433,1337
1.9467174,1338
1.9210728,1339
1.9055051,1340
1.905724,1341
1.8850354,1342
1.7913655,1343
1.7769806,1344
1.6848925,1345
1.7222694,1346
1.7120095,1347
1.7829647,1348
1.6663681,1349
1.7747543,1350
1.7669282,1351
1.7798778,1352
1.6687077,1353
1.7037321,1354
1.7769914,1355
1.8320018,1356
1.8431233,1357
1.660522,1358
1.6801556,1359
1.6696782,1360
1.7325095,1361
1.6797498,1362
1.7092577,1363
1.8671242,1364
1.798795,1365
1.7032478,1366
1.8915632,1367
1.7962799,1368
1.7241621,1369
1.8187425,1370
1.6775032,1371
1.6125038,1372
1.5436581,1373
1.7156923,1374
1.4387681,1375
1.5423636,1376
1.5378966,1377
1.6190746,1378
1.5777873,1379
1.4743414,1380
1.6068656,1381
1.5149403,1382
1.5732846,1383
1.5977039,1384
1.6637055,1385
1.8274838,1386
1.7382365,1387
1.8594065,1388
1.878633,1389
1.8547205,1390
1.8348678,1391
1.7388713,1392
1.8737744,1393
1.8527361,1394
1.819905,1395
1.8666214,1396
1.9159089,1397
1.745539,1398
1.6806955,1399
1.683502,1400
1.6548135,1401
1.7599664,1402
1.7716937,1403
1.798433,1404
1.7076671,1405
1.8156068,1406
1.6560261,1407
1.7628313,1408
1.7569821,1409
1.721793,1410
1.7502668,1411
1.6401967,1412
1.8047104,1413
1.7110444,1414
1.6832017,1415
1.7304895,1416
1.6961701,1417
1.7778465,1418
1.7869966,1419
1.8161594,1420
1.7814167,1421
1.7772065,1422
1.758595,1423
1.8355964,1424
1.8061862,1425
1.661309,1426
1.575508,1427
1.6361276,1428
1.552936,1429
1.4978838,1430
1.5815499,1431
1.6983383,1432
1.8086382,1433
1.7194195,1434
1.6869752,1435
1.8210945,1436
1.6765391,1437
1.8596251,1438
1.9630933,1439
1.9578212,1440
1.8837994,1441
2.074144,1442
2.0142434,1443
2.061569,1444
1.9131657,1445
1.97904,1446
1.9739847,1447
1.9218011,1448
1.9451065,1449
2.0485501,1450
1.9505594,1451
1.8663299,1452
1.8058871,1453
1.6899412,1454
1.7570807,1455
1.8315539,1456
1.965911,1457
1.9296458,1458
2.0341916,1459
1.7404956,1460
1.821914,1461
1.7618529,1462
1.7908665,1463
1.8831011,1464
1.924934,1465
2.0176995,1466
2.003052,1467
2.0234935,1468
1.8564781,1469
1.8089789,1470
1.7472433,1471
1.796347,1472
1.7370617,1473
1.7084272,1474
1.7967584,1475
1.7315459,1476
1.7158172,1477
1.8719461,1478
1.7627952,1479
1.6475877,1480
1.7358321,1481
1.6855168,1482
1.6869807,1483
1.6772618,1484
1.6446539,1485
1.577845,1486
1.7216289,1487
1.9625092,1488
2.0278225,1489
1.9843981,1490
1.8428559,1491
1.7504294,1492
1.8938241,1493
2.0328228,1494
2.0640287,1495
2.0379915,1496
2.0269594,1497
2.0471728,1498
2.0707376,1499
2.026692,1500
2.064381,1501
2.1317418,1502
2.0950363,1503
2.19949,1504
2.154868,1505
2.0336614,1506
1.8237013,1507
1.6958556,1508
1.5559534,1509
1.6787889,1510
1.8416795,1511
1.9274689,1512
1.9442266,1513
1.766816,1514
1.9890622,1515
1.9912533,1516
2.0759482,1517
2.0875895,1518
2.119751,1519
2.1439762,1520
2.0847793,1521
2.0583472,1522
2.0841315,1523
2.147465,1524
2.1385443,1525
2.217955,1526
2.206134,1527
2.0579286,1528
2.008618,1529
2.043312,1530
2.105733,1531
2.1543157,1532
2.0507746,1533
1.9691719,1534
1.8596929,1535
1.6908212,1536
1.6367273,1537
1.6072246,1538
1.5849409,1539
1.7399298,1540
1.8611667,1541
1.8421028,1542
2.01013,1543
2.0723634,1544
1.9720604,1545
1.9678652,1546
2.038422,1547
1.9629011,1548
1.9617845,1549
2.084815,1550
2.0806057,1551
2.0615041,1552
2.0035932,1553
2.052645,1554
1.9168428,1555
1.899583,1556
1.9589858,1557
1.9096999,1558
2.0069954,1559
1.9571099,1560
1.9743791,1561
1.908224,1562
1.772361,1563
1.647543,1564
1.5628153,1565
1.5286962,1566
1.3790934,1567
1.5669416,1568
1.7325712,1569
1.9593037,1570
1.973925,1571
1.9265418,1572
1.8731453,1573
1.8547803,1574
1.9505154,1575
1.8611335,1576
1.8732239,1577
2.0403583,1578
2.0464847,1579
2.1671855,1580
2.1361768,1581
2.1184938,1582
2.106157,1583
2.049818,1584
2.099153,1585
2.1356893,1586
2.0908036,1587
2.1133585,1588
2.1195376,1589
2.1067457,1590
1.9577135,1591
1.8508058,1592
1.759243,1593
1.866288,1594
1.811093,1595
2.0002604,1596
2.0981908,1597
2.0489862,1598
2.1600993,1599
2.1680665,1600
2.1166017,1601
2.0101223,1602
1.9979811,1603
2.0123117,1604
2.0687973,1605
2.1843116,1606
2.2145956,1607
2.120349,1608
2.138025,1609
2.2359214,1610
2.0691185,1611
2.0979128,1612
2.1947572,1613
2.2050383,1614
2.0548296,1615
2.2444706,1616
2.0485115,1617
1.9028035,1618
1.8068818,1619
1.7318535,1620
1.7419369,1621
1.6269464,1622
1.6592851,1623
1.6917523,1624
1.9569846,1625
2.0634444,1626
2.0543153,1627
2.112982,1628
2.1154258,1629
2.1094894,1630
2.0670495,1631
1.9539577,1632
1.9868673,1633
2.0372343,1634
2.1611533,1635
2.1182327,1636
2.156737,1637
2.0881994,1638
2.0028815,1639
1.9812446,1640
1.9966626,1641
2.1369164,1642
2.1471925,1643
2.123043,1644
1.8377883,1645
1.6646352,1646
1.5459799,1647
1.4939437,1648
1.5365262,1649
1.5438336,1650
1.5610309,1651
1.7914904,1652
2.0528018,1653
2.0055084,1654
