@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral slope' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
-5.568585E-6,670
-4.9834243E-6,671
-5.5704086E-6,672
-5.9265676E-6,673
-5.2236E-6,674
-5.698514E-6,675
-5.4204943E-6,676
-5.4856223E-6,677
-5.487502E-6,678
-4.351903E-6,679
-5.4541792E-6,680
-3.9765014E-6,681
-3.7151099E-6,682
-3.831729E-6,683
-5.4034913E-6,684
-4.414833E-6,685
-4.3334735E-6,686
-3.1662614E-6,687
-3.5321245E-6,688
-3.6669096E-6,689
-3.2447085E-6,690
-2.8232173E-6,691
-3.6150382E-6,692
-3.6946487E-6,693
-3.4508112E-6,694
-4.0389373E-6,695
-4.1512635E-6,696
-4.6139394E-6,697
-6.136782E-6,698
-4.3616055E-6,699
-3.7919976E-6,700
-3.8629473E-6,701
-5.000628E-6,702
-4.128656E-6,703
-4.5475454E-6,704
-4.4552967E-6,705
-4.4628905E-6,706
-3.7511518E-6,707
-1.9855086E-6,708
-1.3425166E-6,709
-3.219112E-6,710
-6.497324E-6,711
-4.601716E-6,712
-5.1343554E-6,713
-4.0375326E-6,714
-4.0867926E-6,715
-5.092398E-6,716
-3.841082E-6,717
-4.2895854E-6,718
-4.002899E-6,719
-4.42321E-6,720
-3.5496776E-6,721
-4.1601998E-6,722
-4.9453924E-6,723
-4.931006E-6,724
-4.199498E-6,725
-4.132157E-6,726
-4.7051426E-6,727
-4.9359805E-6,728
-4.1911862E-6,729
-4.9734217E-6,730
-4.6965906E-6,731
-4.7137396E-6,732
-4.103395E-6,733
-3.961572E-6,734
-4.1127214E-6,735
-4.5209135E-6,736
-3.752834E-6,737
-6.397569E-6,738
-4.4729077E-6,739
-4.91465E-6,740
-4.51189E-6,741
-4.1819694E-6,742
-3.7942702E-6,743
-4.469878E-6,744
-4.7139497E-6,745
-4.9311516E-6,746
-4.8258103E-6,747
-4.848764E-6,748
-4.043809E-6,749
-3.423754E-6,750
-3.7858354E-6,751
-6.8130885E-6,752
-5.438247E-6,753
-4.9696673E-6,754
-4.584549E-6,755
-3.9253828E-6,756
-4.604525E-6,757
-5.47099E-6,758
-5.6499525E-6,759
-5.9140634E-6,760
-5.4625143E-6,761
-4.4753124E-6,762
-4.4125986E-6,763
-4.581982E-6,764
-3.9964525E-6,765
-4.0779223E-6,766
-4.108323E-6,767
-3.0306833E-6,768
-3.4592401E-6,769
-2.5440117E-6,770
-2.9886828E-6,771
-4.6372325E-6,772
-7.0410138E-6,773
-6.2356944E-6,774
-4.9031687E-6,775
-4.0770265E-6,776
-3.7756122E-6,777
-4.0516366E-6,778
-4.500521E-6,779
-5.72402E-6,780
-6.0316665E-6,781
-4.506989E-6,782
-4.1515286E-6,783
-3.24107E-6,784
-3.896407E-6,785
-4.3360124E-6,786
-6.781952E-6,787
-5.4896823E-6,788
-5.98712E-6,789
-4.5137276E-6,790
-4.2636902E-6,791
-4.1421117E-6,792
-3.577891E-6,793
-3.5751204E-6,794
-2.9922885E-6,795
-2.552488E-6,796
-2.718724E-6,797
-2.0216103E-6,798
-2.18767E-6,799
-5.177857E-6,800
-4.441593E-6,801
-4.0003583E-6,802
-4.6249324E-6,803
-4.432211E-6,804
-4.105612E-6,805
-3.3740253E-6,806
-4.6969176E-6,807
-4.777381E-6,808
-4.2617444E-6,809
-2.3918392E-6,810
-3.4035124E-6,811
-2.3477683E-6,812
-3.3513338E-6,813
-4.1486064E-6,814
-3.6703461E-6,815
-3.527949E-6,816
-4.5430975E-6,817
-3.5327023E-6,818
-4.5481834E-6,819
-5.818175E-6,820
-6.199282E-6,821
-5.8993733E-6,822
-5.0888957E-6,823
-4.3920304E-6,824
-4.4682893E-6,825
-4.452083E-6,826
-4.325289E-6,827
-5.0963768E-6,828
-4.8619863E-6,829
-3.2123708E-6,830
-4.0741984E-6,831
-4.469137E-6,832
-4.146561E-6,833
-4.3538957E-6,834
-4.784205E-6,835
-4.938335E-6,836
-4.371598E-6,837
-3.6914923E-6,838
-4.4000167E-6,839
-4.5946604E-6,840
-4.073259E-6,841
-5.1667225E-6,842
-4.8423235E-6,843
-4.5459706E-6,844
-4.7351027E-6,845
-4.1602398E-6,846
-5.3095187E-6,847
-5.8026876E-6,848
-5.952924E-6,849
-5.3165954E-6,850
-4.201427E-6,851
-4.3159566E-6,852
-3.9345814E-6,853
-3.7593315E-6,854
-3.944868E-6,855
-3.993531E-6,856
-4.433845E-6,857
-4.063499E-6,858
-4.5558418E-6,859
-4.6353284E-6,860
-4.4704507E-6,861
-4.7050535E-6,862
-4.5568568E-6,863
-5.2195105E-6,864
-5.438287E-6,865
-4.153051E-6,866
-4.5564684E-6,867
-3.580318E-6,868
-5.498604E-6,869
-5.0865665E-6,870
-4.565419E-6,871
-3.6519477E-6,872
-4.0458276E-6,873
-4.7678045E-6,874
-4.2376464E-6,875
-7.4570603E-6,876
-5.6580825E-6,877
-4.3492464E-6,878
-3.383842E-6,879
-3.5657445E-6,880
-4.2246133E-6,881
-3.859638E-6,882
-4.99449E-6,883
-5.908194E-6,884
-5.7205193E-6,885
-4.571022E-6,886
-4.506199E-6,887
-3.8129392E-6,888
-4.2494476E-6,889
-4.0358204E-6,890
-3.410501E-6,891
-3.1257223E-6,892
-3.0137107E-6,893
-3.0418912E-6,894
-3.3287579E-6,895
-3.521004E-6,896
-4.9256564E-6,897
-5.4729194E-6,898
-3.339509E-6,899
-2.8480026E-6,900
-2.2905922E-6,901
-3.235547E-6,902
-5.8469122E-6,903
-5.651806E-6,904
-3.7103966E-6,905
-2.677661E-6,906
-2.1622536E-6,907
-2.6039495E-6,908
-2.8655406E-6,909
-2.22561E-6,910
-2.6261248E-6,911
-2.1638982E-6,912
-2.7380236E-6,913
-2.4460105E-6,914
-2.3548776E-6,915
-2.6192754E-6,916
-4.2990487E-6,917
-3.8859857E-6,918
-2.7978733E-6,919
-2.269239E-6,920
-2.616711E-6,921
-2.7926867E-6,922
-3.96702E-6,923
-3.890625E-6,924
-3.0903248E-6,925
-2.680239E-6,926
-2.675854E-6,927
-4.2821694E-6,928
-4.18691E-6,929
-4.3925556E-6,930
-6.1743945E-6,931
-5.9323934E-6,932
-5.1160514E-6,933
-5.4700517E-6,934
-4.6994605E-6,935
-3.568877E-6,936
-4.09097E-6,937
-3.90937E-6,938
-4.498783E-6,939
-3.1268014E-6,940
-3.652481E-6,941
-3.94217E-6,942
-3.8089213E-6,943
-4.260649E-6,944
-4.2382503E-6,945
-5.456235E-6,946
-4.1507456E-6,947
-4.439675E-6,948
-3.3917938E-6,949
-4.2639217E-6,950
-4.4342055E-6,951
-4.6157725E-6,952
-4.2774227E-6,953
-4.167058E-6,954
-3.3224208E-6,955
-4.4448393E-6,956
-5.1576703E-6,957
-5.8307824E-6,958
-5.555465E-6,959
-5.246438E-6,960
-4.744311E-6,961
-3.7224245E-6,962
-3.915453E-6,963
-3.5453522E-6,964
-4.0579957E-6,965
-4.157894E-6,966
