@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude of maximum in the chromagram' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.23678787,1113
0.36691868,1114
0.45074978,1115
0.4206869,1116
0.272334,1117
0.35683444,1118
0.332152,1119
0.4038833,1120
0.3394767,1121
0.18758439,1122
0.49576482,1123
0.25948444,1124
0.2078933,1125
0.23870203,1126
0.31652743,1127
0.29128182,1128
0.8345621,1129
0.53319824,1130
0.3326793,1131
0.41601035,1132
0.40403545,1133
0.47149506,1134
0.44480473,1135
0.5278792,1136
0.46350977,1137
0.3535991,1138
0.34200093,1139
0.1446508,1140
0.23274197,1141
0.27792865,1142
0.12727448,1143
0.12108489,1144
0.2571784,1145
0.28306624,1146
0.28684336,1147
0.23913285,1148
0.08126081,1149
0.20943877,1150
0.49097067,1151
0.33547202,1152
0.39676777,1153
0.42806903,1154
0.33270985,1155
0.19285104,1156
0.31262395,1157
0.30537856,1158
0.28527576,1159
0.25181416,1160
0.18353367,1161
0.12133212,1162
0.11352038,1163
0.2676038,1164
0.34048933,1165
0.38904262,1166
0.38204753,1167
0.31773734,1168
0.29323396,1169
0.27127275,1170
0.39449704,1171
0.37171334,1172
0.21580552,1173
0.25915408,1174
0.19165446,1175
0.15195563,1176
0.17503935,1177
0.24016447,1178
0.30388293,1179
0.28381196,1180
0.25860852,1181
0.1964598,1182
0.16490091,1183
0.21185058,1184
0.21668789,1185
0.23086423,1186
0.14098032,1187
0.12514575,1188
0.1706399,1189
0.09119855,1190
0.13688964,1191
0.15192142,1192
0.53900325,1193
0.26065734,1194
0.42226762,1195
0.2309867,1196
0.25123453,1197
0.23488924,1198
0.21865378,1199
0.5184839,1200
0.4527136,1201
0.5588545,1202
0.16070688,1203
0.31632972,1204
0.26457936,1205
0.33462352,1206
0.3965065,1207
0.28692544,1208
0.19346634,1209
0.1663321,1210
0.18342239,1211
0.22857483,1212
0.14381003,1213
0.16042009,1214
0.3444841,1215
0.45290846,1216
0.37741405,1217
0.3561527,1218
0.3762837,1219
0.44889387,1220
0.5360245,1221
0.44769275,1222
0.42052564,1223
0.4487899,1224
0.40230387,1225
0.4574755,1226
0.52489936,1227
0.32466954,1228
0.31851134,1229
0.36184448,1230
0.32263556,1231
0.20952964,1232
0.45474774,1233
0.2907398,1234
0.4780036,1235
0.23998274,1236
0.32301846,1237
0.24781536,1238
0.12035658,1239
0.40792328,1240
0.42276612,1241
0.5260535,1242
0.39300382,1243
0.0874058,1244
0.092520826,1245
0.22106892,1246
0.23802577,1247
0.24102937,1248
0.34053373,1249
0.22476669,1250
0.24379154,1251
0.2963195,1252
0.30046228,1253
0.17105965,1254
0.24094729,1255
0.17487894,1256
0.23599567,1257
0.3537965,1258
0.28012913,1259
0.17716359,1260
0.4448596,1261
0.27950728,1262
0.18601803,1263
0.24491906,1264
0.25837666,1265
0.21621138,1266
0.28680506,1267
0.2671607,1268
0.24574505,1269
0.24405308,1270
0.24833483,1271
0.23608139,1272
0.23851885,1273
0.28222856,1274
0.40127367,1275
0.49009076,1276
0.38108918,1277
0.36116555,1278
0.32433158,1279
0.2611499,1280
0.19430584,1281
0.3447614,1282
0.27200344,1283
0.2932234,1284
0.18149263,1285
0.195541,1286
0.34997776,1287
0.28466743,1288
0.3166906,1289
0.27482298,1290
0.22400819,1291
0.23541293,1292
0.13941462,1293
0.10638794,1294
0.18026084,1295
0.35471913,1296
0.30625132,1297
0.2720704,1298
0.2143351,1299
0.225504,1300
0.21517868,1301
0.1611015,1302
0.49620098,1303
0.31108537,1304
0.35101104,1305
0.2793241,1306
0.29864866,1307
0.23639907,1308
0.21824609,1309
0.28400123,1310
0.24042796,1311
0.27300993,1312
0.34763232,1313
0.35375604,1314
0.35731205,1315
0.24297287,1316
0.32390255,1317
0.26340413,1318
0.24874899,1319
0.31972128,1320
0.2446312,1321
0.2631002,1322
0.27717432,1323
0.27761307,1324
0.29175666,1325
0.31038034,1326
