@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral extent' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
1981.0547,897
129.19922,898
344.53125,899
559.8633,900
1119.7266,901
2842.3828,902
2196.3867,903
430.66406,904
1464.2578,905
3703.711,906
4478.9062,907
3574.5117,908
3531.4453,909
3359.1797,910
3488.379,911
2670.1172,912
2627.0508,913
2627.0508,914
2670.1172,915
3617.5781,916
2627.0508,917
172.26562,918
3832.9102,919
3919.043,920
3919.043,921
3919.043,922
2411.7188,923
2540.918,924
732.1289,925
775.1953,926
732.1289,927
215.33203,928
689.0625,929
1291.9922,930
2368.6523,931
1033.5938,932
2928.5156,933
1808.7891,934
2454.7852,935
3014.6484,936
2540.918,937
2756.25,938
2497.8516,939
3229.9805,940
2368.6523,941
2454.7852,942
2282.5195,943
2842.3828,944
2454.7852,945
129.19922,946
1636.5234,947
1421.1914,948
2756.25,949
2368.6523,950
2196.3867,951
172.26562,952
689.0625,953
344.53125,954
2799.3164,955
2799.3164,956
2153.3203,957
2282.5195,958
645.9961,959
1636.5234,960
2368.6523,961
2928.5156,962
2885.4492,963
2928.5156,964
3273.0469,965
2627.0508,966
2627.0508,967
2842.3828,968
2627.0508,969
2540.918,970
3229.9805,971
2454.7852,972
904.39453,973
602.9297,974
1076.6602,975
2454.7852,976
2713.1836,977
1679.5898,978
689.0625,979
430.66406,980
2799.3164,981
2799.3164,982
3229.9805,983
2928.5156,984
2540.918,985
1808.7891,986
2325.586,987
2325.586,988
2497.8516,989
3143.8477,990
2540.918,991
2971.582,992
689.0625,993
1248.9258,994
473.73047,995
215.33203,996
775.1953,997
430.66406,998
2239.4531,999
2540.918,1000
1679.5898,1001
2024.1211,1002
1464.2578,1003
1851.8555,1004
1981.0547,1005
2153.3203,1006
1076.6602,1007
172.26562,1008
861.3281,1009
215.33203,1010
215.33203,1011
990.52734,1012
2842.3828,1013
2110.254,1014
1162.793,1015
2411.7188,1016
2239.4531,1017
2627.0508,1018
3014.6484,1019
2627.0508,1020
1076.6602,1021
1851.8555,1022
2583.9844,1023
2627.0508,1024
2756.25,1025
2670.1172,1026
3273.0469,1027
2627.0508,1028
2756.25,1029
3229.9805,1030
2411.7188,1031
1894.9219,1032
2325.586,1033
1507.3242,1034
2627.0508,1035
1937.9883,1036
1894.9219,1037
2153.3203,1038
3229.9805,1039
430.66406,1040
1248.9258,1041
559.8633,1042
1851.8555,1043
2799.3164,1044
2540.918,1045
602.9297,1046
473.73047,1047
861.3281,1048
430.66406,1049
430.66406,1050
430.66406,1051
258.39844,1052
215.33203,1053
258.39844,1054
990.52734,1055
516.7969,1056
3445.3125,1057
1076.6602,1058
861.3281,1059
1076.6602,1060
1076.6602,1061
1119.7266,1062
861.3281,1063
1119.7266,1064
818.2617,1065
602.9297,1066
602.9297,1067
645.9961,1068
559.8633,1069
2024.1211,1070
3359.1797,1071
3445.3125,1072
2454.7852,1073
344.53125,1074
1851.8555,1075
2670.1172,1076
2799.3164,1077
1464.2578,1078
3143.8477,1079
3531.4453,1080
3359.1797,1081
1033.5938,1082
645.9961,1083
645.9961,1084
1033.5938,1085
1937.9883,1086
2454.7852,1087
1033.5938,1088
1033.5938,1089
1033.5938,1090
1033.5938,1091
1033.5938,1092
1033.5938,1093
645.9961,1094
990.52734,1095
473.73047,1096
1507.3242,1097
430.66406,1098
301.46484,1099
215.33203,1100
258.39844,1101
2497.8516,1102
1421.1914,1103
2497.8516,1104
2885.4492,1105
2756.25,1106
1722.6562,1107
2928.5156,1108
3488.379,1109
3445.3125,1110
3445.3125,1111
3445.3125,1112
3402.246,1113
344.53125,1114
215.33203,1115
861.3281,1116
2454.7852,1117
2540.918,1118
2670.1172,1119
258.39844,1120
172.26562,1121
258.39844,1122
559.8633,1123
3531.4453,1124
3574.5117,1125
1679.5898,1126
344.53125,1127
344.53125,1128
172.26562,1129
215.33203,1130
1033.5938,1131
387.59766,1132
258.39844,1133
215.33203,1134
215.33203,1135
215.33203,1136
2024.1211,1137
1679.5898,1138
1808.7891,1139
2842.3828,1140
2842.3828,1141
2713.1836,1142
3402.246,1143
3229.9805,1144
2799.3164,1145
2583.9844,1146
775.1953,1147
172.26562,1148
430.66406,1149
1033.5938,1150
387.59766,1151
473.73047,1152
818.2617,1153
430.66406,1154
430.66406,1155
344.53125,1156
258.39844,1157
2411.7188,1158
3057.7148,1159
2799.3164,1160
2454.7852,1161
2110.254,1162
258.39844,1163
1981.0547,1164
2842.3828,1165
1937.9883,1166
1894.9219,1167
1937.9883,1168
1937.9883,1169
861.3281,1170
861.3281,1171
1937.9883,1172
2713.1836,1173
2670.1172,1174
2583.9844,1175
7062.8906,1176
6632.2266,1177
2713.1836,1178
1981.0547,1179
2196.3867,1180
2411.7188,1181
818.2617,1182
732.1289,1183
301.46484,1184
2713.1836,1185
2368.6523,1186
2799.3164,1187
2713.1836,1188
3186.914,1189
3488.379,1190
3488.379,1191
2885.4492,1192
258.39844,1193
2110.254,1194
1894.9219,1195
2670.1172,1196
2928.5156,1197
2713.1836,1198
2842.3828,1199
430.66406,1200
258.39844,1201
129.19922,1202
1894.9219,1203
645.9961,1204
602.9297,1205
1033.5938,1206
430.66406,1207
689.0625,1208
2454.7852,1209
559.8633,1210
473.73047,1211
3273.0469,1212
4435.84,1213
3531.4453,1214
473.73047,1215
387.59766,1216
1636.5234,1217
215.33203,1218
387.59766,1219
2411.7188,1220
301.46484,1221
430.66406,1222
387.59766,1223
2067.1875,1224
387.59766,1225
215.33203,1226
559.8633,1227
904.39453,1228
775.1953,1229
732.1289,1230
172.26562,1231
172.26562,1232
516.7969,1233
559.8633,1234
516.7969,1235
990.52734,1236
344.53125,1237
3229.9805,1238
5081.836,1239
215.33203,1240
430.66406,1241
387.59766,1242
387.59766,1243
6416.8945,1244
6718.3594,1245
689.0625,1246
2454.7852,1247
2497.8516,1248
559.8633,1249
2756.25,1250
1335.0586,1251
645.9961,1252
775.1953,1253
2540.918,1254
2540.918,1255
2282.5195,1256
1033.5938,1257
1033.5938,1258
1033.5938,1259
2497.8516,1260
473.73047,1261
1033.5938,1262
2454.7852,1263
1851.8555,1264
1636.5234,1265
2454.7852,1266
1033.5938,1267
1076.6602,1268
2153.3203,1269
1076.6602,1270
2497.8516,1271
2239.4531,1272
1076.6602,1273
1076.6602,1274
602.9297,1275
473.73047,1276
559.8633,1277
1033.5938,1278
1033.5938,1279
1033.5938,1280
990.52734,1281
387.59766,1282
430.66406,1283
344.53125,1284
1894.9219,1285
2368.6523,1286
387.59766,1287
645.9961,1288
689.0625,1289
775.1953,1290
2196.3867,1291
1464.2578,1292
2799.3164,1293
3316.1133,1294
2411.7188,1295
818.2617,1296
861.3281,1297
559.8633,1298
2454.7852,1299
2411.7188,1300
2885.4492,1301
2454.7852,1302
430.66406,1303
1033.5938,1304
732.1289,1305
1033.5938,1306
2411.7188,1307
1162.793,1308
2540.918,1309
559.8633,1310
1033.5938,1311
818.2617,1312
818.2617,1313
990.52734,1314
602.9297,1315
2282.5195,1316
602.9297,1317
2067.1875,1318
1033.5938,1319
1033.5938,1320
2497.8516,1321
2713.1836,1322
861.3281,1323
1205.8594,1324
645.9961,1325
3229.9805,1326
861.3281,1327
732.1289,1328
1076.6602,1329
818.2617,1330
602.9297,1331
473.73047,1332
861.3281,1333
818.2617,1334
1033.5938,1335
1765.7227,1336
387.59766,1337
430.66406,1338
602.9297,1339
645.9961,1340
861.3281,1341
1162.793,1342
602.9297,1343
602.9297,1344
559.8633,1345
1291.9922,1346
990.52734,1347
1033.5938,1348
1033.5938,1349
1033.5938,1350
1076.6602,1351
990.52734,1352
1033.5938,1353
1033.5938,1354
861.3281,1355
861.3281,1356
1335.0586,1357
129.19922,1358
559.8633,1359
473.73047,1360
2325.586,1361
2454.7852,1362
3143.8477,1363
3229.9805,1364
129.19922,1365
1464.2578,1366
1291.9922,1367
1593.457,1368
2282.5195,1369
2583.9844,1370
258.39844,1371
1722.6562,1372
1291.9922,1373
2928.5156,1374
3660.6445,1375
3531.4453,1376
2670.1172,1377
2454.7852,1378
3402.246,1379
2411.7188,1380
2540.918,1381
2799.3164,1382
2928.5156,1383
2756.25,1384
516.7969,1385
1593.457,1386
301.46484,1387
3229.9805,1388
2928.5156,1389
3014.6484,1390
3100.7812,1391
129.19922,1392
2239.4531,1393
129.19922,1394
1550.3906,1395
2411.7188,1396
2454.7852,1397
344.53125,1398
1593.457,1399
2583.9844,1400
2454.7852,1401
3014.6484,1402
3229.9805,1403
2885.4492,1404
2799.3164,1405
2454.7852,1406
2583.9844,1407
1679.5898,1408
2454.7852,1409
2540.918,1410
2842.3828,1411
602.9297,1412
215.33203,1413
2713.1836,1414
2971.582,1415
3143.8477,1416
2454.7852,1417
2756.25,1418
129.19922,1419
1378.125,1420
430.66406,1421
602.9297,1422
516.7969,1423
2713.1836,1424
2497.8516,1425
602.9297,1426
516.7969,1427
2670.1172,1428
3488.379,1429
2411.7188,1430
3359.1797,1431
2454.7852,1432
2842.3828,1433
2756.25,1434
2411.7188,1435
2842.3828,1436
2411.7188,1437
1507.3242,1438
2497.8516,1439
215.33203,1440
516.7969,1441
689.0625,1442
689.0625,1443
387.59766,1444
559.8633,1445
387.59766,1446
861.3281,1447
990.52734,1448
1679.5898,1449
559.8633,1450
215.33203,1451
2627.0508,1452
602.9297,1453
387.59766,1454
430.66406,1455
732.1289,1456
602.9297,1457
818.2617,1458
1679.5898,1459
559.8633,1460
3186.914,1461
387.59766,1462
1119.7266,1463
732.1289,1464
344.53125,1465
430.66406,1466
1894.9219,1467
2411.7188,1468
172.26562,1469
3186.914,1470
2756.25,1471
2713.1836,1472
3488.379,1473
3445.3125,1474
3531.4453,1475
3488.379,1476
3445.3125,1477
2497.8516,1478
2799.3164,1479
2756.25,1480
387.59766,1481
430.66406,1482
3143.8477,1483
344.53125,1484
3531.4453,1485
344.53125,1486
344.53125,1487
2497.8516,1488
3316.1133,1489
1507.3242,1490
473.73047,1491
516.7969,1492
301.46484,1493
1937.9883,1494
3143.8477,1495
3359.1797,1496
3014.6484,1497
2971.582,1498
2110.254,1499
2196.3867,1500
2196.3867,1501
2799.3164,1502
2239.4531,1503
2454.7852,1504
2196.3867,1505
1981.0547,1506
1679.5898,1507
861.3281,1508
2239.4531,1509
2583.9844,1510
2842.3828,1511
3617.5781,1512
1808.7891,1513
387.59766,1514
258.39844,1515
430.66406,1516
3186.914,1517
3488.379,1518
3316.1133,1519
3488.379,1520
3617.5781,1521
258.39844,1522
3316.1133,1523
387.59766,1524
3100.7812,1525
3273.0469,1526
2497.8516,1527
2454.7852,1528
602.9297,1529
1636.5234,1530
258.39844,1531
3186.914,1532
430.66406,1533
215.33203,1534
2627.0508,1535
516.7969,1536
990.52734,1537
732.1289,1538
2497.8516,1539
2799.3164,1540
215.33203,1541
3186.914,1542
473.73047,1543
2282.5195,1544
430.66406,1545
1722.6562,1546
301.46484,1547
215.33203,1548
473.73047,1549
1076.6602,1550
1033.5938,1551
430.66406,1552
645.9961,1553
387.59766,1554
1679.5898,1555
2799.3164,1556
430.66406,1557
430.66406,1558
387.59766,1559
387.59766,1560
344.53125,1561
1722.6562,1562
344.53125,1563
387.59766,1564
1033.5938,1565
1076.6602,1566
215.33203,1567
172.26562,1568
215.33203,1569
387.59766,1570
559.8633,1571
947.46094,1572
559.8633,1573
387.59766,1574
2756.25,1575
2713.1836,1576
2325.586,1577
2024.1211,1578
2239.4531,1579
2799.3164,1580
2540.918,1581
2756.25,1582
430.66406,1583
1421.1914,1584
2670.1172,1585
1636.5234,1586
2799.3164,1587
2756.25,1588
2497.8516,1589
2670.1172,1590
2454.7852,1591
3229.9805,1592
3402.246,1593
3100.7812,1594
2196.3867,1595
2627.0508,1596
2713.1836,1597
2583.9844,1598
2325.586,1599
1937.9883,1600
2583.9844,1601
2024.1211,1602
473.73047,1603
2799.3164,1604
2928.5156,1605
2756.25,1606
2368.6523,1607
2153.3203,1608
861.3281,1609
861.3281,1610
2110.254,1611
2454.7852,1612
2239.4531,1613
861.3281,1614
2196.3867,1615
2110.254,1616
473.73047,1617
645.9961,1618
2239.4531,1619
3273.0469,1620
2239.4531,1621
2239.4531,1622
775.1953,1623
516.7969,1624
3359.1797,1625
2799.3164,1626
3445.3125,1627
3488.379,1628
3488.379,1629
3316.1133,1630
3316.1133,1631
3574.5117,1632
129.19922,1633
2928.5156,1634
2713.1836,1635
2670.1172,1636
2885.4492,1637
2799.3164,1638
2713.1836,1639
215.33203,1640
2497.8516,1641
430.66406,1642
602.9297,1643
215.33203,1644
1722.6562,1645
516.7969,1646
