@RELATION 'Music feature'
%rows=3
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE 'Amplitude, position and width of 3rd spectral peak' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
0.070126586,3402.246,10.0,353
0.060358703,3617.5781,11.0,354
0.040082622,3660.6445,11.0,355
0.035305113,645.9961,9.0,356
0.014334366,2583.9844,25.0,357
NaN,NaN,NaN,358
0.023513468,3229.9805,6.0,359
0.05516443,2756.25,6.0,360
0.05485857,3186.914,4.0,361
0.051093206,430.66406,7.0,362
0.04398078,2411.7188,9.0,363
0.018480435,2368.6523,207.0,364
NaN,NaN,NaN,365
NaN,NaN,NaN,366
0.13523348,1593.457,15.0,367
0.0739485,1722.6562,34.0,368
0.08174792,2368.6523,12.0,369
0.09621393,2799.3164,15.0,370
0.1044566,2928.5156,18.0,371
0.053042494,645.9961,7.0,372
0.10842372,516.7969,12.0,373
0.069156446,861.3281,6.0,374
0.052307345,2368.6523,25.0,375
0.0787089,2885.4492,15.0,376
0.08126459,2756.25,15.0,377
0.061571345,732.1289,26.0,378
0.067924544,2497.8516,20.0,379
0.0653682,2368.6523,12.0,380
0.091963366,645.9961,16.0,381
0.097357035,2627.0508,27.0,382
0.098378755,2627.0508,19.0,383
0.06924894,3617.5781,188.0,384
0.1008883,2627.0508,38.0,385
0.09520941,344.53125,9.0,386
0.06846011,689.0625,13.0,387
0.07082311,2239.4531,19.0,388
0.09164495,2239.4531,13.0,389
0.10687739,2497.8516,11.0,390
0.065298215,732.1289,13.0,391
0.07986109,732.1289,37.0,392
0.08134124,2454.7852,14.0,393
0.08490014,430.66406,24.0,394
0.109089725,2454.7852,18.0,395
0.08486039,2756.25,27.0,396
0.09522102,301.46484,5.0,397
0.08773876,602.9297,13.0,398
0.09260314,1248.9258,12.0,399
0.09011095,2756.25,13.0,400
0.0709735,1248.9258,14.0,401
0.07503282,1248.9258,12.0,402
0.05735118,2239.4531,18.0,403
0.061575204,1636.5234,21.0,404
0.08411986,301.46484,6.0,405
0.08140484,1679.5898,24.0,406
