@RELATION 'Music feature'
%rows=1
%columns=3873
%sample_rate=22050
%window_size=512

@ATTRIBUTE 'Spectral kurtosis' NUMERIC
@ATTRIBUTE WindowNumber NUMERIC

@DATA
3.2516668,743
3.631289,744
3.8000681,745
3.8754752,746
3.6364818,747
3.7455957,748
3.536367,749
3.158495,750
3.4172049,751
3.8473725,752
3.5136013,753
3.0187426,754
3.7256334,755
3.3244762,756
3.9216192,757
4.410722,758
3.8732495,759
4.8025126,760
4.2165017,761
3.8800638,762
3.6997466,763
4.4955873,764
5.0498147,765
5.2935905,766
5.364424,767
5.2701077,768
4.8118167,769
4.189472,770
4.58168,771
3.4513757,772
4.488734,773
4.2800574,774
3.2970788,775
3.668053,776
3.034554,777
3.2451437,778
4.3179493,779
5.425927,780
6.7698045,781
6.758333,782
5.836188,783
5.4120264,784
6.082786,785
5.4260387,786
4.051096,787
3.525956,788
3.2062187,789
2.8734124,790
3.0614495,791
2.7930064,792
2.8234692,793
3.260757,794
3.9443605,795
3.9955661,796
3.9408402,797
3.417254,798
3.795036,799
3.6032598,800
2.9111848,801
2.83997,802
3.2339985,803
3.1734152,804
3.178648,805
2.7662334,806
2.8714375,807
2.7354264,808
2.6249573,809
2.156574,810
2.2186894,811
2.0328186,812
2.4374034,813
2.506394,814
2.3843238,815
2.258422,816
2.4574704,817
3.02037,818
3.2304432,819
3.5556831,820
3.406702,821
3.16481,822
2.871587,823
3.1988406,824
3.1637588,825
2.98476,826
2.9297318,827
3.3747044,828
3.0175688,829
2.7190878,830
3.1231658,831
3.7290585,832
3.2151852,833
3.3533363,834
3.4397564,835
3.6955888,836
3.6420383,837
2.9898949,838
3.5143297,839
3.6249962,840
2.9659731,841
3.431889,842
3.495056,843
3.7510967,844
4.0216346,845
3.9408128,846
4.5098352,847
3.7800398,848
3.1096778,849
2.876954,850
2.9015527,851
3.157826,852
3.4742424,853
3.2757387,854
3.841853,855
3.234588,856
3.560791,857
3.2167757,858
3.6125407,859
3.573819,860
3.8221939,861
3.4738905,862
3.5508292,863
4.11059,864
4.0232058,865
3.9168804,866
3.8296554,867
3.4114082,868
3.09737,869
3.827927,870
3.6145556,871
3.3216183,872
3.7341084,873
4.431346,874
4.3158445,875
4.417019,876
3.1593738,877
2.9225922,878
2.5609243,879
2.6165187,880
2.850554,881
3.2445393,882
2.990427,883
3.2954633,884
3.507458,885
3.0903213,886
3.329705,887
3.4938972,888
2.9972456,889
3.0134826,890
2.898649,891
2.5504286,892
2.532183,893
2.515766,894
2.6117485,895
2.956338,896
3.168829,897
3.5442584,898
3.0645733,899
2.4463542,900
2.22899,901
3.0686932,902
3.089383,903
3.111531,904
2.379671,905
2.2227068,906
2.4168348,907
2.464039,908
2.644269,909
2.5147343,910
2.5735383,911
2.3504186,912
2.5655782,913
2.395459,914
2.3293617,915
2.9898243,916
2.6831284,917
2.256614,918
2.0659306,919
2.1057267,920
2.168576,921
2.4242103,922
2.4424262,923
2.4900773,924
2.0675693,925
2.0183618,926
1.9823692,927
2.7164435,928
2.8151565,929
2.8995438,930
3.4805639,931
3.2363014,932
2.9246035,933
3.1653626,934
3.2235184,935
2.8343232,936
2.9703667,937
2.841168,938
3.2304168,939
2.5210977,940
2.6098459,941
2.8425508,942
3.0526948,943
3.5245497,944
2.9816563,945
4.1577177,946
3.2451386,947
3.557622,948
3.1470094,949
3.36523,950
3.2915266,951
3.342375,952
3.4759376,953
3.9854012,954
3.5523582,955
3.9661124,956
4.5948596,957
3.6850135,958
3.310114,959
3.139583,960
3.0650513,961
2.8724632,962
3.2058613,963
2.8345764,964
3.2605042,965
3.129054,966
3.13563,967
3.2356517,968
3.014673,969
3.8432293,970
3.3312094,971
3.5259795,972
3.6938963,973
3.740196,974
3.456143,975
3.630993,976
3.960928,977
3.5539563,978
3.409722,979
