@RELATION ClassificationSet

@ATTRIBUTE 'Mean_1(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Average distance between extremal spectral values and its variance))' NUMERIC
@ATTRIBUTE 'Mean_1(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_1(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Mean_2(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC
@ATTRIBUTE 'Std_dev_2(NaN_eliminated(Average distance between zero-crossings of the time-domain signal and its variance))' NUMERIC

@DATA
293.1581693518519,682.7526875991427,152.62221239814824,625.0293290646633,15.497658993981476,307.9913149695214,16.254708500462968,356.9586461239766
303.97183612903217,883.84669614598,165.20588575576033,626.0762942142615,17.581326848387096,282.8806871770562,20.389432129953917,331.35150649147795
306.02854046296295,651.2188112408737,166.51862416203696,619.2299752189197,12.774179793981476,55.48722718191229,15.77669601944444,144.34588359180174
296.7875141203707,560.3032187510125,152.33452719444455,731.4584105608182,9.942937685648145,54.71136974884713,9.83891115046296,102.51051450568482
291.65397599078364,618.0594343586453,143.7857905852535,770.8935439887194,9.283987378341015,49.765649353756004,8.101503563133644,83.8020558628377
306.6527433796296,1055.4042000344375,158.98038996296307,1020.9027438016632,11.909514641203698,34.407765250330065,11.088569391203702,59.81714955403672
303.54361930555575,1107.8242467387947,160.3256291435186,728.2332979919554,13.468877566666665,54.055690125457005,14.657649019444452,113.01227581326008
290.5674795391705,596.3145044533393,151.7459457880185,536.7793413201117,13.181505543778806,77.85732582978645,14.353685899078334,180.1408596220997
296.976859814815,560.3563213397314,155.78790135185184,566.4928806713168,13.354644735648144,118.07598899893989,15.322528775925916,256.1587112183671
298.53771481818177,559.7578789365342,156.55669964545453,571.4623502597991,13.394799095454545,142.99251688005685,16.414147105454546,292.03564558135656
289.1794780930235,512.5133419101064,151.4186510558139,451.76047938876764,24.935770693023247,207.81093859724913,28.949811732093043,363.5324099706345
288.03669375000015,535.7210872939277,151.42987268055546,627.7846160382619,26.343290753240737,154.5385037292483,33.03096623657407,259.3901288112774
285.1889115277778,572.9372527303917,150.83396075925918,640.8499178272405,29.235817352314825,443.3491377177878,35.09476942870372,402.9860420703239
286.6329498156683,497.10127689600654,151.2057613870968,474.5144170570566,30.086041062211983,434.71699136955846,35.63345259078342,366.5182955353677
288.6222543055555,563.6728070671751,153.32827013888894,559.8757043939862,27.034522958333337,283.9102907267597,28.874466107870376,298.1494720210009
286.58479814814814,576.3538297166866,152.18668259722224,549.7337326885525,24.991824742129648,365.1214148262662,24.02492066759261,341.84496862217276
285.9597484331799,545.7547179879988,147.49728264516128,510.0090230458178,15.956707970506908,154.79440400295917,15.765170698156686,149.98193976964595
285.60775662037065,527.2300433897276,144.64757273611107,513.3924673680527,13.144534751388887,25.107537079897092,15.360444251851847,78.49387900815076
284.4363655555556,340.2467039168165,144.63457348611112,398.7693372454664,14.373156173611108,33.380787246689565,17.67582558101852,93.74468684280748
288.72465700460856,358.666307565938,148.94181417050697,429.5790461743495,14.86252756359447,46.85318361547286,18.37009420737327,123.20915542929355
293.5917710648147,412.4588161941964,149.38852136574073,482.54647437947034,14.08442055601851,48.34738215751048,16.851725388425923,129.24806620384038
295.2334048181821,407.1846660478233,146.79881208181817,521.1352838707674,12.770425250909096,36.18928252069645,14.37594954818182,100.7519931621707
297.710857023256,3670.0476725020344,146.73859774883724,801.5352653951184,8.406265742325576,104.26514401906974,10.023839627906977,270.87555512953764
303.99674787037026,662.8459774665595,161.7284015277779,579.8028818348453,14.281662248148152,112.7251467543578,15.464669487500005,164.55445514076908
307.0595303240741,569.0726144477355,168.48078170370368,683.2070812250028,21.707972322222222,130.11119916109445,26.355839668981474,176.22621771934942
302.17155276497704,498.29962809401763,164.82758753456218,671.040225060924,25.91794912580644,234.64651208025268,31.788964173732722,275.8748402564528
303.74269282407425,585.3348391611512,163.1412971296296,582.2980547838239,27.25894176527775,247.067291775742,33.32320421250002,310.37854950270497
293.2515635185186,1064.7145387524272,156.42952726851868,764.2491553452334,21.754806286111105,142.17579839813368,25.381815128703693,269.75896703843193
287.5667662211981,1038.865496988293,144.1509868202765,597.6640306439758,12.789210807834104,77.57393681396309,12.780421930414752,108.00829981109165
295.7924618518519,798.2859549900816,149.1330433333333,623.1366230785594,13.301593463425926,124.10790039599709,15.347412998611109,182.869190950311
296.5210093055556,843.6880082239879,159.6340941435185,700.1190391315698,18.989547421296304,116.23343446520833,23.053758911574054,167.71385779308824
285.4791539170508,1066.8559965168656,151.42367437788013,781.4161957315197,18.88447659354839,168.2829198919718,23.636055643778803,230.25366071719424
280.0423037962965,841.8862007178776,147.80745870370365,688.306032220155,22.034383280555566,233.52190728876704,29.75719404398147,416.02137213008257
287.70453363636386,700.7192844999196,155.50772799090913,625.7039623835528,24.498161277272725,189.06672825244138,35.38666320909092,412.3232076605272
304.86443311627914,668.5874720062557,167.70050167441858,756.789882993093,20.842093366511637,361.13842366612374,20.18645290046512,293.9410650847139
297.33086328703695,462.8037775495761,158.283085037037,624.250304260029,15.388670962500008,136.94258755677097,17.152009964814813,224.04563090013093
309.3647103240743,631.5277722951263,164.27582878703706,870.9022356261512,15.569653713888883,101.16462404466873,15.423453399074074,151.54459041476682
